model,information_set,sharing,fraction_gru_r_squared_raw,delta_r_squared_gru_minus_model,fraction_reducible_choice_log_loss,raw_r_squared,raw_log_loss
flexible_linear,observable,task_specific,,,0.7889535857522463,0.84001552876063,0.5199487609748105
oracle_policy,observable,task_specific,,,1.0,1.0,0.47044222486619364
intercept,oracle,fully_shared,,,0.0,-0.6155141685688805,0.8395485671732382
time,oracle,fully_shared,,,0.18460264111777133,-0.32946600679598853,0.7714105615300376
previous_outcome,oracle,fully_shared,,,0.20202707011070792,-0.5335624064859573,0.764979094277666
streak,oracle,fully_shared,,,0.21540454826365132,-0.47153478377728714,0.7600413822473406
choice_inertia,oracle,fully_shared,,,0.2474937376582453,-0.2925369597492055,0.748197058922304
finite_history,oracle,fully_shared,,,0.24542721147955382,-0.2894152907566636,0.7489598268414026
rescorla_wagner,oracle,fully_shared,,,0.7775491264109641,0.28188141439232306,0.5525502531596495
bayesian,oracle,fully_shared,,,0.7686527779311513,0.2868548310455733,0.555833951806922
value_history_hybrid,oracle,fully_shared,,,0.938357618661621,0.5534829355206118,0.49319481877309873
termination_advantage,oracle,fully_shared,,,0.20343918585633203,-0.40260440602386255,0.7644578733998845
sticky_termination,oracle,fully_shared,,,0.3262798278118735,-0.19838280920658916,0.7191166133610253
decomposed_meta_control,oracle,fully_shared,,,0.17052045326367937,-0.31013217037957846,0.7766083863805422
mvt_like_foraging_threshold,oracle,fully_shared,,,0.5316746800753189,0.7166992975421412,0.6433040707133691
disengagement_accumulator,oracle,fully_shared,,,0.20343918585633203,-0.40260440602386255,0.7644578733998845
latent_commitment,oracle,fully_shared,,,0.2139277638249003,-0.3639975985029496,0.760586472749904
generic_latent_value,oracle,fully_shared,,,0.20343918585633203,-0.40260440602386255,0.7644578733998845
flexible_linear,oracle,fully_shared,,,0.6711553146183956,0.5087422192337544,0.5918208838745085
oracle_policy,oracle,fully_shared,,,1.0,1.0,0.47044222486619364
intercept,oracle,shared_architecture_task_observation,-0.002561069486427607,0.7189924838522583,0.0,-0.0018366858313260497,0.7050187576401626
time,oracle,shared_architecture_task_observation,0.5930144333716368,0.29187205881836514,0.3557103241518196,0.4252837392025672,0.6215774631287242
previous_outcome,oracle,shared_architecture_task_observation,0.6452005779437486,0.2544464626621165,0.3553302521702944,0.4627093353588158,0.6216666190963549
streak,oracle,shared_architecture_task_observation,0.6426205962242826,0.2562967115110196,0.349515473081735,0.4608590865099127,0.6230306298137958
choice_inertia,oracle,shared_architecture_task_observation,0.9721076743168572,0.02000314308395401,0.6324720383058021,0.6971526549369783,0.5566556598179027
finite_history,oracle,shared_architecture_task_observation,0.978799014386785,0.015204409756275572,0.6283332612974849,0.7019513882646568,0.5576265197784384
rescorla_wagner,oracle,shared_architecture_task_observation,0.393054640526096,0.43527438362860926,0.6499733911039913,0.28188141439232306,0.5525502531596495
bayesian,oracle,shared_architecture_task_observation,0.3999895585271425,0.430300966975359,0.6359749804000673,0.2868548310455733,0.555833951806922
value_history_hybrid,oracle,shared_architecture_task_observation,0.771775027194937,0.16367286250032054,0.9030056688201252,0.5534829355206118,0.49319481877309873
termination_advantage,oracle,shared_architecture_task_observation,0.11187599936749486,0.6369232764151472,0.00028986228736459685,0.08023252160578509,0.7049507627498107
sticky_termination,oracle,shared_architecture_task_observation,0.46300269449212667,0.3851107311665893,0.23378717469270038,0.33204506685434304,0.6501777727937268
decomposed_meta_control,oracle,shared_architecture_task_observation,0.7733353714852598,0.16255385254560673,0.5502059631566347,0.5546019454753256,0.5759533504913171
mvt_like_foraging_threshold,oracle,shared_architecture_task_observation,0.9993634570339516,0.0004565004787910887,0.26308977371687875,0.7166992975421412,0.6433040707133691
disengagement_accumulator,oracle,shared_architecture_task_observation,0.11187599936749486,0.6369232764151472,0.00028986228736459685,0.08023252160578509,0.7049507627498107
latent_commitment,oracle,shared_architecture_task_observation,0.24734347098362522,0.5397719937024033,0.1873101249137271,0.17738380431852907,0.6610801979844415
generic_latent_value,oracle,shared_architecture_task_observation,0.11187599936749486,0.6369232764151472,0.00028986228736459685,0.08023252160578509,0.7049507627498107
flexible_linear,oracle,shared_architecture_task_observation,1.1383571894571802,-0.09922366061709742,0.7972602339930085,0.8163794586380297,0.5180002162315195
oracle_policy,oracle,shared_architecture_task_observation,1.3943971487919449,-0.2828442019790677,1.0,1.0,0.47044222486619364
mlp,oracle,shared_architecture_task_observation,0.9649691431389432,0.025122582107548252,0.6697732898029614,0.6920332159133841,0.5479056615735692
gru,oracle,shared_architecture_task_observation,1.0,0.0,0.7023657582446078,0.7171557980209323,0.5402602333319828
intercept,oracle,task_specific,,,0.0,-0.0018366858313260497,0.7050187576401626
time,oracle,task_specific,,,0.3557103241518196,0.4252837392025672,0.6215774631287242
previous_outcome,oracle,task_specific,,,0.3553302521702944,0.4627093353588158,0.6216666190963549
streak,oracle,task_specific,,,0.349515473081735,0.4608590865099127,0.6230306298137958
choice_inertia,oracle,task_specific,,,0.6324720383058021,0.6971526549369783,0.5566556598179027
finite_history,oracle,task_specific,,,0.6302308645100297,0.7038999661727466,0.5571813865962588
rescorla_wagner,oracle,task_specific,,,0.6499733911039913,0.28188141439232306,0.5525502531596495
bayesian,oracle,task_specific,,,0.6359749804000673,0.2868548310455733,0.555833951806922
value_history_hybrid,oracle,task_specific,,,0.9030056688201252,0.5534829355206118,0.49319481877309873
termination_advantage,oracle,task_specific,,,0.00028986228736459685,0.08023252160578509,0.7049507627498107
sticky_termination,oracle,task_specific,,,0.2531965574333513,0.34145388568962415,0.645624787087142
decomposed_meta_control,oracle,task_specific,,,0.5502059631566347,0.5546019454753256,0.5759533504913171
mvt_like_foraging_threshold,oracle,task_specific,,,0.26308977371687875,0.7166992975421412,0.6433040707133691
disengagement_accumulator,oracle,task_specific,,,0.03297027682521012,0.1263823619345119,0.6972847044179069
latent_commitment,oracle,task_specific,,,0.1862085005308905,0.19759020707737082,0.6613386132125866
generic_latent_value,oracle,task_specific,,,0.03297027682521012,0.1263823619345119,0.6972847044179069
flexible_linear,oracle,task_specific,,,0.7972602339930085,0.8163794586380297,0.5180002162315195
oracle_policy,oracle,task_specific,,,1.0,1.0,0.47044222486619364
