model,kind,reference,task,information_set,sharing,metric,estimate,ci_low,ci_high,samples,clusters
sticky_termination,metric,,bandit,observable,task_specific,brier,0.15887193953804618,0.12826717045740083,0.1954484183153398,2000,78
sticky_termination,metric,,foraging,observable,task_specific,r_squared,0.7284364792466796,0.6394252943786783,0.7954519250127483,2000,59
sticky_termination,metric,,foraging,observable,task_specific,mse,0.410777555279087,0.3316265823913583,0.49410347570642027,2000,59
sticky_termination,metric,,foraging,observable,task_specific,log_loss,0.6422123092954031,0.5404526411429958,0.7633654156210814,2000,59
sticky_termination,metric,,foraging,observable,task_specific,brier,0.2223626462847362,0.183270427384238,0.2677989571337911,2000,59
sticky_termination,metric,,solvability,observable,task_specific,r_squared,0.1563185635512778,0.04885317735862782,0.24001638996404287,2000,59
sticky_termination,metric,,solvability,observable,task_specific,mse,5.6545759029647,4.3982970162349115,7.01219540810404,2000,59
sticky_termination,metric,,solvability,observable,task_specific,log_loss,0.7196261727935126,0.6643142093019965,0.7711064834258299,2000,59
sticky_termination,metric,,solvability,observable,task_specific,brier,0.25641504839459367,0.2305237428222392,0.2813878490641866,2000,59
sticky_termination,metric,,macro,observable,task_specific,r_squared,0.3591137143312321,0.29987549488893545,0.4107798132628719,2000,196
sticky_termination,metric,,macro,observable,task_specific,mse,2.6430593513563183,2.197812525497126,3.117567147196841,2000,196
sticky_termination,metric,,macro,observable,task_specific,log_loss,0.6432160419071651,0.5855143066386523,0.7092924650977813,2000,196
sticky_termination,metric,,macro,observable,task_specific,brier,0.21254987807245868,0.19242178977444446,0.23422158582150845,2000,196
decomposed_meta_control,metric,,bandit,observable,task_specific,r_squared,0.26950638026313484,0.1716318015375278,0.358087344201253,2000,78
decomposed_meta_control,metric,,bandit,observable,task_specific,mse,1.6825066008840932,1.359828828307771,2.0349026476610357,2000,78
decomposed_meta_control,metric,,bandit,observable,task_specific,log_loss,0.5518024794018234,0.44008968639646867,0.6898722796826743,2000,78
decomposed_meta_control,metric,,bandit,observable,task_specific,brier,0.156896614785737,0.12641220766033012,0.19194074866091324,2000,78
decomposed_meta_control,metric,,foraging,observable,task_specific,r_squared,0.6648192334774755,0.5838809619517991,0.7296899231202698,2000,59
decomposed_meta_control,metric,,foraging,observable,task_specific,mse,0.5094679043503546,0.42198065879102226,0.6008065035068176,2000,59
