r_squared,mse,pearson_r,log_loss,brier,auc,model,code,information_set,sharing,task,states,episodes
0.7765582328305883,0.5186124310656741,0.8812507226683047,0.4509964824774562,0.13740856747640426,0.8489893291763916,finite_history,M5,observable,shared_architecture_task_observation,bandit,1800,78
0.6703754272714354,0.5054391355180544,0.8190861594759526,0.64604624753289,0.22209882293045372,0.7455043406366267,finite_history,M5,observable,shared_architecture_task_observation,foraging,364,118
0.6589205046919464,2.312797110357444,0.8123698172822448,0.5758368293249689,0.19352342953947974,0.7904020582592011,finite_history,M5,observable,shared_architecture_task_observation,solvability,313,118
0.28188141439232306,1.6667663803118375,0.5330824989454779,0.5525502531596495,0.15775306050008767,0.7951959762640921,rescorla_wagner,M6,observable,shared_architecture_task_observation,bandit,1800,78
0.2868548310455733,1.65522298923541,0.5373880415745621,0.555833951806922,0.15778211859562347,0.7901835312761065,bayesian,M7,observable,shared_architecture_task_observation,bandit,1800,78
0.5534829355206118,1.0363742788804116,0.7453475629456049,0.49319481877309873,0.1462488027677183,0.8237677739404535,value_history_hybrid,M8,observable,shared_architecture_task_observation,bandit,1800,78
0.051265483073090534,2.202030177671898,0.22867304209948125,0.5944077527318775,0.16264931000852872,0.6307283547639758,termination_advantage,M9,observable,shared_architecture_task_observation,bandit,1800,78
0.0700684712445494,1.425936737951231,0.2703974200123928,0.7071655467901448,0.2534253927950714,0.560011023839052,termination_advantage,M9,observable,shared_architecture_task_observation,foraging,364,118
0.03649524252394454,6.533347942518941,0.2001847639814517,0.8162189307978722,0.30485037324418374,0.5167669631955346,termination_advantage,M9,observable,shared_architecture_task_observation,solvability,313,118
0.19481297775447548,1.8688538152881542,0.4417651961491744,0.5655864979193453,0.1582562111913045,0.6236575346005115,sticky_termination,M10,observable,shared_architecture_task_observation,bandit,1800,78
0.7072637258910195,0.4488754224105132,0.8422796808494796,0.6400955235777692,0.22143133085861774,0.7280384456386937,sticky_termination,M10,observable,shared_architecture_task_observation,foraging,364,118
0.17716803535831493,5.579471695928984,0.42755968531927596,0.7198984449493612,0.2569638425255651,0.6289464503750218,sticky_termination,M10,observable,shared_architecture_task_observation,solvability,313,118
0.27235881293570796,1.6888685125767526,0.5239117514665144,0.5517301977339416,0.15681465699929847,0.7088734056204838,decomposed_meta_control,M11,observable,shared_architecture_task_observation,bandit,1800,78
0.6686766777395067,0.5080439610253651,0.8179991943461125,0.6375503289592389,0.22082454627903686,0.731638418079096,decomposed_meta_control,M11,observable,shared_architecture_task_observation,foraging,364,118
0.7516727420977848,1.6838613062345231,0.8672113439663584,0.5127580998929561,0.16497971646563697,0.8621140763997907,decomposed_meta_control,M11,observable,shared_architecture_task_observation,solvability,313,118
0.7166992975421412,0.43440712249287056,0.8499489950747828,0.6433040707133691,0.2231793535620614,0.7496038307840706,mvt_like_foraging_threshold,M12,observable,shared_architecture_task_observation,foraging,364,118
0.051265483073090534,2.202030177671898,0.22867304209948125,0.5944077527318775,0.16264931000852872,0.6307283547639758,disengagement_accumulator,M13,observable,shared_architecture_task_observation,bandit,1800,78
0.0700684712445494,1.425936737951231,0.2703974200123928,0.7071655467901448,0.2534253927950714,0.560011023839052,disengagement_accumulator,M13,observable,shared_architecture_task_observation,foraging,364,118
0.03649524252394454,6.533347942518941,0.2001847639814517,0.8162189307978722,0.30485037324418374,0.5167669631955346,disengagement_accumulator,M13,observable,shared_architecture_task_observation,solvability,313,118
0.1544928468642901,1.96243757702949,0.3947514672913755,0.5736074452010433,0.16046287879209903,0.7005968426764044,latent_commitment,M14,observable,shared_architecture_task_observation,bandit,1800,78
0.09990018940644374,1.3801934315164208,0.3185160621775175,0.7112670697628777,0.2547321385959109,0.5487977125533967,latent_commitment,M14,observable,shared_architecture_task_observation,foraging,364,118
0.17839176996832606,5.571173777382687,0.4239573619747219,0.7161959364426863,0.24759153958680785,0.6276382347810919,latent_commitment,M14,observable,shared_architecture_task_observation,solvability,313,118
0.051265483073090534,2.202030177671898,0.22867304209948125,0.5944077527318775,0.16264931000852872,0.6307283547639758,generic_latent_value,M15,observable,shared_architecture_task_observation,bandit,1800,78
0.0700684712445494,1.425936737951231,0.2703974200123928,0.7071655467901448,0.2534253927950714,0.560011023839052,generic_latent_value,M15,observable,shared_architecture_task_observation,foraging,364,118
0.03649524252394454,6.533347942518941,0.2001847639814517,0.8162189307978722,0.30485037324418374,0.5167669631955346,generic_latent_value,M15,observable,shared_architecture_task_observation,solvability,313,118
0.8135460185049128,0.43276310355944436,0.9025979221171451,0.44066290420718685,0.1344268276590357,0.8604352731438021,flexible_linear,M16,observable,shared_architecture_task_observation,bandit,1800,78
0.8428081638502132,0.2410345354909848,0.918943065332444,0.6414314652564004,0.22080829165135749,0.7416287722199256,flexible_linear,M16,observable,shared_architecture_task_observation,foraging,364,118
0.8636924039267639,0.9242766529639179,0.9293513401005229,0.4777519134608441,0.15724565735867854,0.8608930751787894,flexible_linear,M16,observable,shared_architecture_task_observation,solvability,313,118
1.0,0.0,1.0,0.38808249446187804,0.11702814500208379,0.8869099396267365,oracle_policy,CEILING,observable,shared_architecture_task_observation,bandit,1800,78
1.0,0.0,1.0,0.6262113436157409,0.21412913978857978,0.7687577511368334,oracle_policy,CEILING,observable,shared_architecture_task_observation,foraging,364,118
1.0,0.0,1.0,0.3970328365209619,0.1261782985277781,0.9150968079539508,oracle_policy,CEILING,observable,shared_architecture_task_observation,solvability,313,118
