model,code,information_set,sharing,parameter_count,task_count,states,episodes,r_squared,pooled_task_balanced_r_squared,mse,pooled_task_balanced_mse,pearson_r,pooled_task_balanced_pearson_r,log_loss,pooled_task_balanced_log_loss,brier,pooled_task_balanced_brier,auc,pooled_task_balanced_auc
sticky_termination,M10,observable,task_specific,9,3,2477,314,0.3652284748482873,0.4935573525958332,2.640114114418712,2.6401141144187115,0.5715981818729645,0.7025846345751077,0.6414783796071024,0.6414783796071025,0.2119471877136215,0.21194718771362145,0.663666928955073,0.8358955621526984
decomposed_meta_control,M11,observable,task_specific,21,3,2477,314,0.5642360775909998,0.7518555054996333,1.293591259945547,1.2935912599455468,0.736374096592995,0.8671560598074254,0.5673462088620456,0.5673462088620456,0.1808729732479908,0.18087297324799076,0.7675419666997901,0.8750627997259648
mvt_like_foraging_threshold,M12,observable,task_specific,4,1,364,118,0.7166992975421412,0.7166992975421412,0.43440712249287056,0.43440712249287056,0.8499489950747828,0.8499489950747828,0.6433040707133691,0.6433040707133691,0.2231793535620614,0.2231793535620614,0.7496038307840706,0.7496038307840706
disengagement_accumulator,M13,observable,task_specific,6,3,2477,314,0.08578212495812561,0.3650344576360285,3.3101112221831044,3.310111222183104,0.28733032119937113,0.6043261812203112,0.7026977409356915,0.7026977409356913,0.24028900242687593,0.24028900242687593,0.6052606811659328,0.8367861764481997
latent_commitment,M14,observable,task_specific,12,3,2477,314,0.1881022875941717,0.44566995227223394,2.8897538360045147,2.889753836004515,0.43492622863689406,0.6679667585884181,0.6670452492679511,0.667045249267951,0.22085880615092698,0.22085880615092698,0.6682114247634163,0.840742939788384
generic_latent_value,M15,observable,task_specific,6,3,2477,314,0.08578212495812561,0.3650344576360285,3.3101112221831044,3.310111222183104,0.28733032119937113,0.6043261812203112,0.7026977409356915,0.7026977409356913,0.24028900242687593,0.24028900242687593,0.6052606811659328,0.8367861764481997
flexible_linear,M16,observable,task_specific,75,3,2477,314,0.84001552876063,0.897815909954271,0.5326914306714491,0.5326914306714491,0.9169641091833706,0.9475478866057213,0.5199487609748105,0.5199487609748104,0.17082692555635726,0.17082692555635723,0.8209857068475057,0.9118444089213671
oracle_policy,CEILING,observable,task_specific,0,3,2477,314,1.0,1.0,0.0,0.0,1.0,1.0,0.47044222486619364,0.47044222486619364,0.15244519443948057,0.15244519443948057,0.8569214995725069,0.9278077186572277
intercept,M0,observable,shared_architecture_task_observation,3,3,2477,314,-0.0018366858313260497,0.3192829177641163,3.548616582644641,3.5486165826446405,5.700344420674081e-17,0.5655140207756977,0.7050187576401626,0.7050187576401626,0.23935917843342383,0.23935917843342383,0.5,0.7917675268326102
time,M1,observable,shared_architecture_task_observation,9,3,2477,314,0.4252837392025672,0.5272383128244491,2.4645333671366205,2.46453336713662,0.6356176589957442,0.7265355505737506,0.6215774631287242,0.6215774631287242,0.20816945127934539,0.2081694512793454,0.7492421776356032,0.877010733044074
