model,reference,information_set,sharing,delta_mse_reference_minus_model,delta_r_squared_model_minus_reference,delta_log_loss_reference_minus_model
latent_commitment,choice_inertia,observable,shared_architecture_task_observation,-1.8571816598593005,-0.5528910528572917,-0.1103678239842999
latent_commitment,gru,observable,shared_architecture_task_observation,-1.820827574092817,-0.5927920310623681,-0.11692246446293897
generic_latent_value,time,observable,shared_architecture_task_observation,-0.922571585577403,-0.372674006922039,-0.08435328031124056
generic_latent_value,choice_inertia,observable,shared_architecture_task_observation,-2.273018350597125,-0.6445429226564502,-0.1492750836220621
generic_latent_value,gru,observable,shared_architecture_task_observation,-2.236664264830641,-0.6844439008615266,-0.15582972410070117
flexible_linear,time,observable,shared_architecture_task_observation,1.9318419364651715,0.41473178955806284,0.10162870215391373
flexible_linear,choice_inertia,observable,shared_architecture_task_observation,0.5813951714454496,0.1428628738236517,0.036706898843092195
flexible_linear,gru,observable,shared_architecture_task_observation,0.6177492572119331,0.10296189561857527,0.03015225836445312
oracle_policy,time,observable,shared_architecture_task_observation,2.4645333671366205,0.5747162607974328,0.15113523826253056
oracle_policy,choice_inertia,observable,shared_architecture_task_observation,1.1140866021168987,0.3028473450630217,0.08621343495170902
oracle_policy,gru,observable,shared_architecture_task_observation,1.1504406878833822,0.26294636685794526,0.07965879447306995
mlp,time,observable,shared_architecture_task_observation,1.0685443329625681,0.2602794380235191,0.059347867453362735
mlp,choice_inertia,observable,shared_architecture_task_observation,-0.2819024320571537,-0.011589477710892027,-0.0055739358574588005
mlp,gru,observable,shared_architecture_task_observation,-0.24554834629067024,-0.05149045591596846,-0.012128576336097874
gru,time,observable,shared_architecture_task_observation,1.3140926792532384,0.31176989393948756,0.07147644378946061
gru,choice_inertia,observable,shared_architecture_task_observation,-0.03635408576648347,0.03990097820507643,0.006554640478639073
intercept,time,observable,task_specific,-1.0840832155080204,-0.42712042503389325,-0.08344129451143845
intercept,choice_inertia,observable,task_specific,-2.434529980527742,-0.6989893407683043,-0.14836309782225998
time,choice_inertia,observable,task_specific,-1.3504467650197218,-0.27186891573441113,-0.06492180331082154
previous_outcome,time,observable,task_specific,0.6271129111238365,0.03742559615624863,-8.915596763070521e-05
previous_outcome,choice_inertia,observable,task_specific,-0.7233338538958853,-0.2344433195781625,-0.06501095927845224
streak,time,observable,task_specific,0.3771328729613588,0.03557534730734552,-0.0014531666850715608
streak,choice_inertia,observable,task_specific,-0.973313892058363,-0.23629356842706561,-0.0663749699958931
