stage,target,feature_family,priority,target_role,task,selected_alpha,r_squared,mse,pearson_r,tasks,states,episodes
l22,time_effort,time_effort,2,primary,macro,0.01,0.15037016171940673,0.4113833101481536,0.5163764934056815,3.0,2477,314
l22,time_effort,time_effort,2,primary,bandit,0.01,-0.05623890954230726,0.8017977161713166,0.21303938025771788,,1800,78
l22,time_effort,time_effort,2,primary,foraging,0.01,0.3939672309157044,0.23704793402118277,0.6716347657725033,,364,118
l22,time_effort,time_effort,2,primary,solvability,0.01,0.11338216378482302,0.19530428025196134,0.6644553341868236,,313,118
l22,cost_pressure,cost,3,primary,macro,100.0,-0.05291925735909797,0.18821490361812407,-0.03780019677900479,3.0,2477,314
l22,cost_pressure,cost,3,primary,bandit,100.0,0.0,0.02702897938008502,0.0,,1800,78
l22,cost_pressure,cost,3,primary,foraging,100.0,-0.11315007420865264,0.2762889009239517,-0.18723011693482758,,364,118
l22,cost_pressure,cost,3,primary,solvability,100.0,-0.04560769786864127,0.26132683055033545,0.0738295265978132,,313,118
l22,progress_solvability,progress_solvability,4,primary,macro,0.01,0.17202199618634348,0.2122656897699404,0.4244365513068886,3.0,2477,314
l22,progress_solvability,progress_solvability,4,primary,bandit,0.01,0.1340854370844663,0.42460860758877406,0.3953437624586051,,1800,78
l22,progress_solvability,progress_solvability,4,primary,foraging,0.01,0.08947028399782919,0.15418578122311824,0.3154348797532742,,364,118
l22,progress_solvability,progress_solvability,4,primary,solvability,0.01,0.2925102674767349,0.058002680497928887,0.5625310117087865,,313,118
l22,estimated_continue_value,continuation_value,5,control,macro,0.01,-0.7148867660181826,0.6756398077449258,0.3040183650808707,3.0,2477,314
l22,estimated_continue_value,continuation_value,5,control,bandit,0.01,0.11969838777180675,0.2948134817130892,0.36845308366123963,,1800,78
l22,estimated_continue_value,continuation_value,5,control,foraging,0.01,-1.114379109464732,1.148580712760101,0.101651630788384,,364,118
l22,estimated_continue_value,continuation_value,5,control,solvability,0.01,-1.1499795763616225,0.5835252287615872,0.4419503807929884,,313,118
l22,estimated_outside_value,outside_option,5,control,macro,0.01,-0.07336918559746208,0.7647480639764653,-0.026178867261246366,3.0,2477,314
l22,estimated_outside_value,outside_option,5,control,bandit,0.01,0.0,0.09358974173294506,0.0,,1800,78
l22,estimated_outside_value,outside_option,5,control,foraging,0.01,-0.193382401232971,1.176583855510358,-0.14308784157069865,,364,118
l22,estimated_outside_value,outside_option,5,control,solvability,0.01,-0.026725155559415237,1.024070594686093,0.06455123978695955,,313,118
l22,termination_advantage,derived_termination,5,control,macro,0.01,-0.2880916293794314,1.3754624276027663,0.05748044130954589,3.0,2477,314
l22,termination_advantage,derived_termination,5,control,bandit,0.01,-0.24093750943318293,0.4155906369617453,0.12193916216588863,,1800,78
l22,termination_advantage,derived_termination,5,control,foraging,0.01,-0.26147486433817546,2.1282027346104133,-0.14180662170904335,,364,118
l22,termination_advantage,derived_termination,5,control,solvability,0.01,-0.36186251436693584,1.5825939112361396,0.1923087834717924,,313,118
