stage,target,random_subspace,random_r_squared,random_mse,random_pearson_r,persistence_rank4_r_squared,random_meets_or_exceeds_persistence,random_r_squared_mean,random_r_squared_95th,persistence_percentile_among_random,empirical_p_value
l21,cost_pressure,2,-0.001252841442841916,0.19289205302605217,0.10459912973125914,0.026309759574074627,False,-0.013099575178512514,0.04531092852285616,0.87,0.13861386138613863
l21,progress_solvability,2,0.23339290676244903,0.19569770823957833,0.5437485125897493,0.052022799370691396,True,0.19324335809244794,0.3522906701086371,0.08,0.9207920792079208
l21,estimated_continue_value,2,-0.3626477845909692,0.5179056883291437,0.2998307904627701,-0.47305469386488525,True,-0.6214256318828069,-0.21066241594305737,0.7,0.3069306930693069
l21,estimated_outside_value,2,0.018244763363850874,0.7364779819173565,0.2002968796955141,0.004548456915627923,True,-0.03572498711704658,0.04464938365785712,0.77,0.2376237623762376
l21,termination_advantage,2,-0.30503491229299906,1.1235420686168769,0.39878068316518833,-0.13057366916992627,False,-0.37197551860458683,-0.041789477592792605,0.81,0.19801980198019803
l21,history_finite_prediction,3,-0.09782022383590609,2.5134121022099962,0.23858961648225,0.26640694883284266,False,-0.07859338581695621,0.44770878722747176,0.79,0.21782178217821782
l21,history_summary,3,0.4336739681803075,0.22291173210511864,0.7375030886132606,0.2120931504072684,True,0.41499064931620483,0.6061581246477328,0.1,0.900990099009901
l21,history_recent_outcomes,3,-0.32639871382264757,3.4854506129319507,0.5228223670600493,0.011912039646849023,False,-0.04311780601354851,0.15533662796266962,0.61,0.39603960396039606
l21,history_recent_choices,3,0.4630601263814292,0.25382229642214077,0.7902191351049467,0.4234693514441359,True,0.5703162883809162,0.8747847827073638,0.23,0.7722772277227723
l21,time_effort,3,0.15750538984614273,0.35163256705009766,0.6645891306565284,0.11366734714890044,True,0.3537426177154401,0.7112576723701379,0.19,0.8118811881188119
l21,cost_pressure,3,0.030514151707953463,0.17042223431077672,0.21950504383969913,0.026309759574074627,True,-0.013099575178512514,0.04531092852285616,0.87,0.13861386138613863
l21,progress_solvability,3,0.14592236237260459,0.1973002242155831,0.5793956190004077,0.052022799370691396,True,0.19324335809244794,0.3522906701086371,0.08,0.9207920792079208
l21,estimated_continue_value,3,-0.5189504221779073,0.59842039314083,0.272293016442917,-0.47305469386488525,False,-0.6214256318828069,-0.21066241594305737,0.7,0.3069306930693069
l21,estimated_outside_value,3,-0.06291987834579893,0.7651419905289302,0.15237709604440067,0.004548456915627923,False,-0.03572498711704658,0.04464938365785712,0.77,0.2376237623762376
l21,termination_advantage,3,-0.12457444037094545,1.018120117529268,0.29396924851028244,-0.13057366916992627,True,-0.37197551860458683,-0.041789477592792605,0.81,0.19801980198019803
l21,history_finite_prediction,4,-0.3164591463228062,2.8552641519785773,0.6011110038732189,0.26640694883284266,False,-0.07859338581695621,0.44770878722747176,0.79,0.21782178217821782
l21,history_summary,4,0.4477390841081988,0.2339490114878334,0.7184199415319347,0.2120931504072684,True,0.41499064931620483,0.6061581246477328,0.1,0.900990099009901
l21,history_recent_outcomes,4,0.0550251012415807,3.9730607627865706,0.3439540908415723,0.011912039646849023,True,-0.04311780601354851,0.15533662796266962,0.61,0.39603960396039606
l21,history_recent_choices,4,0.7074719451848189,0.1394178687919927,0.9319547372999897,0.4234693514441359,True,0.5703162883809162,0.8747847827073638,0.23,0.7722772277227723
l21,time_effort,4,0.47827767046590747,0.21438606579803288,0.9111397248659,0.11366734714890044,True,0.3537426177154401,0.7112576723701379,0.19,0.8118811881188119
l21,cost_pressure,4,-0.007726524152130117,0.2113313806042055,0.1824835354854423,0.026309759574074627,False,-0.013099575178512514,0.04531092852285616,0.87,0.13861386138613863
l21,progress_solvability,4,0.1454184648033281,0.22262214473491568,0.4067136117540198,0.052022799370691396,True,0.19324335809244794,0.3522906701086371,0.08,0.9207920792079208
l21,estimated_continue_value,4,-0.5555878598436236,0.59613253507911,0.10914557849913324,-0.47305469386488525,False,-0.6214256318828069,-0.21066241594305737,0.7,0.3069306930693069
l21,estimated_outside_value,4,-0.037098238268465845,0.8518999839131762,0.21229988577074854,0.004548456915627923,False,-0.03572498711704658,0.04464938365785712,0.77,0.2376237623762376
