stage,target,feature_family,rank4_r_squared,rank4_mse,rank4_pearson_r,full_hidden_r_squared,full_hidden_mse,full_hidden_pearson_r,full_hidden_selected_alpha,concentration_ratio,delta_r_squared_full_minus_rank4
displacement,cost_pressure,cost,-0.04319805995296585,0.19259763500458082,-0.005384498499864228,0.66566536144769,0.0004492942711579026,0.6661701151666399,1.0,-0.0648945588200934,0.7088634214006558
displacement,progress_solvability,progress_solvability,0.21474527558238451,0.20552665628810296,0.5010318411208026,0.9782888879344993,0.007498980756885691,0.9898656001531494,1.0,0.21951110580003097,0.7635436123521148
displacement,estimated_continue_value,continuation_value,-0.7456271603204302,0.6620924490586383,0.2702983028908118,0.9438372111357217,0.018909356960082734,0.9708222932253144,10.0,-0.7899955114327556,1.689464371456152
displacement,estimated_outside_value,outside_option,-0.03848217380532767,0.7434145406155336,0.06704039422537632,0.664795134276469,0.003559475006969517,0.6657440830064891,1.0,-0.0578857633294952,0.7032773080817967
displacement,termination_advantage,derived_termination,-0.4632894073410904,1.4599108057600247,-0.006164707988232876,0.9383392353764747,0.023228072399113817,0.9680931798223505,1.0,-0.4937333854053458,1.401628642717565
l22,history_finite_prediction,history,0.3713424130432666,1.478664888090018,0.7125744529996428,0.9977469029878194,0.004392191027352689,0.9988770537661745,1.0,0.3721809728812558,0.6264044899445529
l22,history_summary,history,0.2949412581456647,0.2960363616433615,0.5242366198469173,0.9940034832262158,0.002720433211050607,0.99705083634062,1.0,0.29672054788820273,0.6990622250805512
l22,history_recent_outcomes,history,0.0675579174679261,3.4016502089361005,0.49962886146901536,0.9871763163832483,0.03604187113177907,0.9936080998967564,1.0,0.06843551283264204,0.9196183989153223
l22,history_recent_choices,history,0.3940163467024373,0.2862497977387628,0.6707190895832661,0.9999365134856042,2.9780058767060472e-05,0.9999684694433576,1.0,0.3940413630151029,0.6059201667831668
l22,time_effort,time_effort,0.15037016171940673,0.4113833101481536,0.5163764934056815,0.9999548924654844,2.26588573038866e-05,0.9999774722358592,1.0,0.15037694485263703,0.8495847307460777
l22,cost_pressure,cost,-0.05291925735909797,0.18821490361812407,-0.03780019677900479,0.6658345643254977,0.00040019719181981294,0.6662509310872368,0.1,-0.07947808689190854,0.7187538216845957
l22,progress_solvability,progress_solvability,0.17202199618634348,0.2122656897699404,0.4244365513068886,0.9826140500876278,0.006426172634208291,0.9920108629565704,1.0,0.17506567931834768,0.8105920539012843
l22,estimated_continue_value,continuation_value,-0.7148867660181826,0.6756398077449258,0.3040183650808707,0.9423265651624931,0.019800331965001416,0.9702283299010741,10.0,-0.7586401492299103,1.6572133311806758
l22,estimated_outside_value,outside_option,-0.07336918559746208,0.7647480639764653,-0.026178867261246366,0.6654823569639388,0.002766179624260104,0.6660778629521257,1.0,-0.11024963296125043,0.7388515425614008
l22,termination_advantage,derived_termination,-0.2880916293794314,1.3754624276027663,0.05748044130954589,0.9360499131713164,0.025222763689605205,0.9668235628294753,10.0,-0.30777378997171567,1.2241415425507478
