heldout_task,model,sharing,information_set,selected_hyperparameters,macro_log_loss,macro_brier,macro_auc,state_weighted_log_loss,episode_weighted_log_loss,tasks,states,null_log_loss,delta_log_loss_vs_null
partial_reinforcement,exponential_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.964281679333187,0.363292872643263,0.7083333333333334,0.9642816793331868,1.0865731802140026,1,20,0.957637851377315,-0.006643827955871928
partial_reinforcement,perseveration,fully_shared,observable,"{""history_decay"": 0.95, ""penalty"": 0.01}",1.227136170617615,0.444218516677015,0.37500000000000006,1.2271361706176152,1.3613764859644215,1,20,0.957637851377315,-0.2694983192402999
partial_reinforcement,perseveration,hierarchical,observable,"{""history_decay"": 0.95, ""penalty"": 0.01}",0.679138581236141,0.243120807502195,0.5833333333333334,0.6791385812361408,0.6704345901424938,1,20,0.957637851377315,0.27849927014117404
partial_reinforcement,dual_history,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.906492084410676,0.340576559306486,0.7083333333333334,0.9064920844106755,1.0197673159282978,1,20,0.957637851377315,0.051145766966639084
partial_reinforcement,dual_history,hierarchical,observable,"{""history_decay"": 0.25, ""penalty"": 0.01}",0.968772301810852,0.363135747861979,0.6666666666666666,0.9687723018108517,1.0997765578320542,1,20,0.957637851377315,-0.011134450433537002
partial_reinforcement,dynamic_reevaluation,fully_shared,observable,"{""penalty"": 0.01}",0.978718609846428,0.374098929186658,0.4583333333333333,0.9787186098464279,1.0590695813193873,1,20,0.957637851377315,-0.021080758469112948
partial_reinforcement,dynamic_reevaluation,hierarchical,observable,"{""penalty"": 0.01}",0.986423525201433,0.376873079704564,0.4583333333333333,0.9864235252014334,1.0679426721245955,1,20,0.957637851377315,-0.028785673824117897
partial_reinforcement,option_termination,fully_shared,observable,"{""penalty"": 0.01}",1.039161279090504,0.393818351842206,0.49999999999999994,1.0391612790905038,1.1308125571724144,1,20,0.957637851377315,-0.08152342771318899
partial_reinforcement,option_termination,hierarchical,observable,"{""penalty"": 0.01}",1.021629751948308,0.388178595781048,0.49999999999999994,1.0216297519483084,1.1101378020499528,1,20,0.957637851377315,-0.06399190057099291
partial_reinforcement,competitive_time_reward,fully_shared,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",0.994858339895493,0.373735173142324,0.625,0.9948583398954934,1.134342960128807,1,20,0.957637851377315,-0.03722048851817794
partial_reinforcement,competitive_time_reward,hierarchical,observable,"{""history_decay"": 0.25, ""penalty"": 0.01}",1.045661831652642,0.390924929866845,0.8333333333333334,1.0456618316526423,1.1920083848034417,1,20,0.957637851377315,-0.08802398027532699
partial_reinforcement,latent_commitment,fully_shared,observable,"{""penalty"": 0.01, ""rho"": 0.0}",0.940232547886022,0.357657563040316,0.5,0.9402325478860215,1.0167118999399756,1,20,0.957637851377315,0.0174053034912931
partial_reinforcement,latent_commitment,hierarchical,observable,"{""penalty"": 0.01, ""rho"": 0.95}",0.856648976403154,0.324327143378361,0.5833333333333334,0.856648976403154,0.9205266787174816,1,20,0.957637851377315,0.10098887497416109
partial_reinforcement,sunk_extension,fully_shared,observable,"{""penalty"": 0.01}",0.914202616109259,0.347804221689593,0.5833333333333334,0.9142026161092593,0.9847410729137168,1,20,0.957637851377315,0.04343523526805604
partial_reinforcement,sunk_extension,hierarchical,observable,"{""penalty"": 0.01}",0.950657030842039,0.361727514193804,0.5833333333333334,0.9506570308420388,1.0285661596978934,1,20,0.957637851377315,0.006980820535276044
partial_reinforcement,flexible_linear,fully_shared,observable,"{""penalty"": 0.01}",0.972595001586601,0.359081602745418,0.625,0.9725950015866008,1.1342843789046453,1,20,0.957637851377315,-0.014957150209285897
partial_reinforcement,flexible_linear,hierarchical,observable,"{""penalty"": 0.01}",0.592682442892779,0.201465589629391,0.8333333333333334,0.5926824428927795,0.6133197177451303,1,20,0.957637851377315,0.364955408484536
partial_reinforcement,mlp,fully_shared,observable,"{""dropout"": 0.0, ""epochs"": 120, ""hidden_size"": 32, ""learning_rate"": 0.001}",1.234668156459807,0.436254048104825,0.625,1.2346681564598072,1.443085528461346,1,20,0.957637851377315,-0.27703030508249193
partial_reinforcement,mlp,hierarchical,observable,"{""dropout"": 0.0, ""epochs"": 120, ""hidden_size"": 32, ""learning_rate"": 0.001}",1.060992989165941,0.383271856365373,0.625,1.0609929891659409,1.2712891162663793,1,20,0.957637851377315,-0.10335513778862604
partial_reinforcement,gru,fully_shared,observable,"{""dropout"": 0.0, ""epochs"": 100, ""hidden_size"": 64, ""learning_rate"": 0.001}",1.802529087041605,0.535473892980014,0.5416666666666667,1.8025290870416053,2.074916915182483,1,20,0.957637851377315,-0.84489123566429
partial_reinforcement,gru,hierarchical,observable,"{""dropout"": 0.0, ""epochs"": 100, ""hidden_size"": 64, ""learning_rate"": 0.001}",1.300526720237282,0.447785206646921,0.7083333333333334,1.3005267202372819,1.5544740187188477,1,20,0.957637851377315,-0.34288886885996706
solvability,intercept,fully_shared,observable,"{""penalty"": 0.01}",0.681668412264453,0.242922336292631,0.5,0.6816684122644532,0.956704245882079,1,313,0.681668412264453,0.0
solvability,intercept,hierarchical,observable,"{""penalty"": 0.01}",0.677046014527643,0.24103889896248,0.5,0.677046014527643,0.9369408366845297,1,313,0.681668412264453,0.004622397736809947
solvability,time_only,fully_shared,observable,"{""penalty"": 0.01}",0.683261559805016,0.243519377507559,0.4046964939822083,0.6832615598050162,0.9695906068876132,1,313,0.681668412264453,-0.0015931475405630557
solvability,time_only,hierarchical,observable,"{""penalty"": 0.01}",0.682333407567857,0.243137357171663,0.4046964939822083,0.6823334075678573,0.9662878143165623,1,313,0.681668412264453,-0.0006649953034040257
solvability,immediate_state,fully_shared,observable,"{""penalty"": 0.01}",0.679817898506936,0.243523123693609,0.5532443746729462,0.6798178985069359,0.7348951269836913,1,313,0.681668412264453,0.0018505137575169917
solvability,immediate_state,hierarchical,observable,"{""penalty"": 0.01}",0.660135808734028,0.233729392966712,0.5435199720914007,0.6601358087340276,0.8399201639404267,1,313,0.681668412264453,0.021532603530424965
solvability,finite_history,fully_shared,observable,"{""history_lag"": 2, ""penalty"": 0.01}",0.697399405027691,0.246045820157144,0.47638670852956566,0.6973994050276912,1.0772650829056722,1,313,0.681668412264453,-0.015730992763238083
