task,model,sharing,null_log_loss,loto_log_loss,task_specific_log_loss,architecture_transfer
partial_reinforcement,dynamic_reevaluation,hierarchical,0.957637851377315,0.986423525201433,0.6872984850017179,-0.10647977100058892
partial_reinforcement,option_termination,fully_shared,0.957637851377315,1.039161279090504,0.6826412605822677,-0.2964525032019314
partial_reinforcement,option_termination,hierarchical,0.957637851377315,1.021629751948308,0.6826412605822677,-0.2327007050741423
partial_reinforcement,competitive_time_reward,fully_shared,0.957637851377315,0.994858339895493,0.6812653899646722,-0.13467509869807626
partial_reinforcement,competitive_time_reward,hierarchical,0.957637851377315,1.045661831652642,0.6812653899646722,-0.31849765286093834
partial_reinforcement,latent_commitment,fully_shared,0.957637851377315,0.940232547886022,0.5860837252936475,0.0468445975146397
partial_reinforcement,latent_commitment,hierarchical,0.957637851377315,0.856648976403154,0.5860837252936475,0.2718012474753682
partial_reinforcement,sunk_extension,fully_shared,0.957637851377315,0.914202616109259,0.6666312697240491,0.14925860102988692
partial_reinforcement,sunk_extension,hierarchical,0.957637851377315,0.950657030842039,0.6666312697240491,0.023988531447009277
partial_reinforcement,flexible_linear,fully_shared,0.957637851377315,0.972595001586601,0.7186244449766932,-0.06257870817595687
partial_reinforcement,flexible_linear,hierarchical,0.957637851377315,0.592682442892779,0.7186244449766932,1.5269244264600652
partial_reinforcement,mlp,fully_shared,0.957637851377315,1.234668156459807,0.5389558393777041,-0.6616723363858042
partial_reinforcement,mlp,hierarchical,0.957637851377315,1.060992989165941,0.5389558393777041,-0.24685831926479343
partial_reinforcement,gru,fully_shared,0.957637851377315,1.802529087041605,0.622898649097775,-2.5240283477724343
partial_reinforcement,gru,hierarchical,0.957637851377315,1.300526720237282,0.622898649097775,-1.024346316550104
solvability,intercept,fully_shared,0.681668412264453,0.681668412264453,0.6617323087919345,0.0
solvability,intercept,hierarchical,0.681668412264453,0.677046014527643,0.6617323087919345,0.2318606413325364
solvability,time_only,fully_shared,0.681668412264453,0.683261559805016,0.658175762066164,-0.06781472192860942
solvability,time_only,hierarchical,0.681668412264453,0.682333407567857,0.658175762066164,-0.02830652556400213
solvability,immediate_state,fully_shared,0.681668412264453,0.679817898506936,0.5297965520386401,0.01218470462378961
solvability,immediate_state,hierarchical,0.681668412264453,0.660135808734028,0.5297965520386401,0.14178139056444622
solvability,finite_history,fully_shared,0.681668412264453,0.697399405027691,0.5163561934453822,-0.09515928632265942
solvability,finite_history,hierarchical,0.681668412264453,0.673416276817874,0.5163561934453822,0.04991848458346992
solvability,exponential_reward,fully_shared,0.681668412264453,0.619496934786448,0.5004579033580348,0.34308980121076726
solvability,exponential_reward,hierarchical,0.681668412264453,0.610310314454897,0.5004579033580348,0.3937856487473753
solvability,perseveration,fully_shared,0.681668412264453,0.709459828981504,0.5243350848782024,-0.17664036716660506
solvability,perseveration,hierarchical,0.681668412264453,0.685516780251349,0.5243350848782024,-0.02445996694297548
solvability,dual_history,fully_shared,0.681668412264453,0.63243042666395,0.4917103826678827,0.2592045501054827
solvability,dual_history,hierarchical,0.681668412264453,0.636358271755017,0.4917103826678827,0.23852711362433515
solvability,dynamic_reevaluation,fully_shared,0.681668412264453,0.674048383416907,0.6745598963629067,1.071957769115836
solvability,dynamic_reevaluation,hierarchical,0.681668412264453,0.673679600650157,0.6745598963629067,1.123836779004495
solvability,option_termination,fully_shared,0.681668412264453,0.654968745679203,0.6630771081937532,1.4361373728123297
solvability,option_termination,hierarchical,0.681668412264453,0.654652326678143,0.6630771081937532,1.4531571041801112
solvability,competitive_time_reward,fully_shared,0.681668412264453,0.622615381150253,0.5663993098954049,0.5123058122300148
solvability,competitive_time_reward,hierarchical,0.681668412264453,0.628025244301859,0.5663993098954049,0.4653733468909023
solvability,latent_commitment,fully_shared,0.681668412264453,1.760342726298627,0.5240780590119462,-6.844799137583096
solvability,latent_commitment,hierarchical,0.681668412264453,0.882867423222162,0.5240780590119462,-1.2767216190912916
solvability,sunk_extension,fully_shared,0.681668412264453,0.686496533122785,0.5299557151124941,-0.03182410535814354
solvability,sunk_extension,hierarchical,0.681668412264453,0.662542704575361,0.5299557151124941,0.12606530664954957
solvability,flexible_linear,fully_shared,0.681668412264453,0.700869900370476,0.45586711819311704,-0.08503710390586543
solvability,flexible_linear,hierarchical,0.681668412264453,0.70677409891946,0.45586711819311704,-0.11118486613754983
solvability,mlp,fully_shared,0.681668412264453,0.766291831888332,0.42462276142106486,-0.3292155278497132
solvability,mlp,hierarchical,0.681668412264453,0.729529140656728,0.42462276142106486,-0.18619544129706161
solvability,gru,fully_shared,0.681668412264453,0.652940873793872,0.38933584285741124,0.09827005772518267
solvability,gru,hierarchical,0.681668412264453,0.697669434471419,0.38933584285741124,-0.0547356808015681
