heldout_task,model,sharing,requested_pairs,adaptation_pairs,adaptation_recorded_episodes,macro_log_loss,macro_brier,macro_auc,state_weighted_log_loss,episode_weighted_log_loss,tasks,states
bandit,flexible_linear,fully_shared,32,32,32,0.141730148759087,0.034953931737454,0.793249562918242,0.14173014875908663,0.46596169630011186,1,1800
bandit,flexible_linear,hierarchical,0,0,0,5.837304098577315,0.699716120648524,0.28194141812575896,5.837304098577315,1.9375955609119313,1,1800
bandit,flexible_linear,hierarchical,1,1,1,0.208099891117108,0.036083150002364,0.820434756396896,0.20809989111710808,0.7987924323090205,1,1800
bandit,flexible_linear,hierarchical,4,4,4,0.153703197343395,0.036206287446263,0.752168183892999,0.15370319734339488,0.48501870947579334,1,1800
bandit,flexible_linear,hierarchical,8,8,8,0.141986664298842,0.034026718020469,0.7749481099981914,0.14198666429884216,0.467178862569552,1,1800
bandit,flexible_linear,hierarchical,16,16,16,0.132507373846087,0.032609399038825,0.8303175409737233,0.132507373846087,0.46059241087260533,1,1800
bandit,flexible_linear,hierarchical,32,32,32,0.132220688834351,0.032940354321543,0.8311184986779891,0.13222068883435148,0.46994720130402584,1,1800
foraging,finite_history,fully_shared,0,0,0,0.75242568071245,0.254695825448647,0.44975540857103485,0.7524256807124504,0.8187103533198007,1,364
foraging,finite_history,fully_shared,1,1,2,0.679231701863056,0.226281300299955,0.47142414220752377,0.6792317018630565,0.7264835661187804,1,364
foraging,finite_history,fully_shared,4,4,8,0.746720364602872,0.249885024441938,0.4407985393413256,0.7467203646028715,0.8273588316320004,1,364
foraging,finite_history,fully_shared,8,8,16,0.619089845075686,0.214197200652399,0.609842221303569,0.6190898450756864,0.6843854563230332,1,364
foraging,finite_history,fully_shared,16,16,32,0.61985307627241,0.214355314881091,0.6240698635799917,0.6198530762724105,0.683307908972979,1,364
foraging,finite_history,fully_shared,32,32,64,0.635869660468306,0.219579763433455,0.5370504340636627,0.6358696604683061,0.6818665863840244,1,364
foraging,finite_history,hierarchical,0,0,0,0.725162773021991,0.24612284330466,0.4752824858757062,0.7251627730219908,0.7959557854394572,1,364
