layer,beta_stop,se_stop,lower_95_stop,upper_95_stop,p_stop,nominal_detectable_stop,holm_detectable_stop,beta_continue,se_continue,lower_95_continue,upper_95_continue,p_continue,nominal_detectable_continue,holm_detectable_continue,relative_r_squared,normalized_stop,normalized_continue,normalized_relative_r_squared
13,-0.09221515667057319,0.008741522652134652,-0.1093485410687571,-0.07508177227238927,5.128848313908926e-26,True,True,0.7732325365925841,0.00983157172709607,0.7539626560074758,0.7925024171776923,0.0,True,True,0.2814282640254405,0.01755583049906833,0.19545739832136197,0.3591275491153639
14,-0.1852293240140112,0.018130662643763788,-0.22076542279578823,-0.1496932252322342,1.6751839922450614e-24,True,True,0.6581753984284406,0.01897000824930384,0.6209941822598051,0.6953566145970762,9.185903291859216e-264,True,True,0.2891824260852771,0.025570206216129363,0.12063936886738706,0.3690225510464447
15,-0.6733729706397324,0.016412414978773684,-0.7055413039981289,-0.641204637281336,0.0,True,True,0.5525251829287936,0.011092636081122126,0.5307836162097942,0.574266749647793,0.0,True,True,0.7563073089904,0.2830751656234667,0.30840477259573235,0.9651155373335406
16,-0.4821621402848619,0.012030124937043894,-0.5057411851614679,-0.4585830954082558,0.0,True,True,0.648954208558715,0.011083335993350147,0.6272308700117487,0.6706775471056813,0.0,True,True,0.596159051716114,0.239550348756295,0.4280955143181465,0.7607520867427643
17,-0.3556803655248556,0.01720960553935357,-0.3894111923819886,-0.3219495386677226,6.787682493081937e-95,True,True,0.7029193514293786,0.010496076849434854,0.6823470408044863,0.7234916620542708,0.0,True,True,0.49251906338586826,0.1324853664290503,0.3476453637984805,0.6284982240105496
18,-0.2195155276563093,0.01826262031895878,-0.2553102634814685,-0.1837207918311501,2.791875732977029e-33,True,True,0.6580871001309684,0.007078407592765483,0.644213421249148,0.6719607790127887,0.0,True,True,0.31966967236210053,0.10435203433501777,0.41537654980661454,0.40792699468001786
19,0.06908038343049662,0.016154791197119798,0.037416992684141816,0.10074377417685143,1.9014926652801016e-05,False,False,0.6500598170382034,0.018548932940154517,0.6137039084755005,0.6864157256009062,4.5384075431205835e-269,True,True,0.10731974319111626,-0.042258019188330664,0.5279960099345737,0.13694955791800562
20,0.004591781194173583,0.029748612540944876,-0.05371549938607837,0.06289906177442553,0.8773315795775531,False,False,0.6417601339512493,0.021306913388267963,0.5999985837102441,0.6835216841922546,2.666993749006529e-199,True,True,0.1404610080545169,-0.0031421957461060935,0.5831062673770375,0.17924076582561038
21,0.01536562908432979,0.03141372006892474,-0.0462052622507627,0.07693652041942228,0.6247443409226066,False,False,0.6001638919428576,0.01996237737883842,0.5610376322803343,0.6392901516053808,1.4007307823556453e-198,True,True,0.11665536968736401,-0.009386906187447062,0.48681608347094,0.14886264942878163
22,-0.014295614069951107,0.030432146374794276,-0.07394262096454789,0.045351392824645675,0.6385309802395874,False,False,0.604639592961659,0.019058490532313593,0.5672849515183244,0.6419942344049937,6.921559110254549e-221,True,True,0.13552833135069464,0.008433383754853606,0.47360747985572477,0.17294623069298418
23,-0.2946216643299666,0.03128745833016815,-0.3559450826570962,-0.23329824600283705,4.6590509189296355e-21,True,True,0.6517310749735737,0.018006547025289282,0.6164382428040067,0.6870239071431408,7.533869082942501e-287,True,True,0.3872553936904509,0.24717806905668147,0.7259999794590373,0.4941723991346689
24,-0.4869678607242566,0.01989423185307041,-0.5259605551562746,-0.44797516629223855,2.543751860359015e-132,True,True,0.6354749672777453,0.011951751606861159,0.6120495341282974,0.6589004004271932,0.0,True,True,0.5898926822401827,0.4591015039566573,0.7954809549281756,0.7527556407584365
25,-0.512242593934429,0.018923364890585822,-0.5493323891199772,-0.4751527987488807,2.262887859898201e-161,True,True,0.6224097905101359,0.012053952384930802,0.5987840438356715,0.6460355371846003,0.0,True,True,0.6095713139370291,0.47836831356233267,0.7717667343086414,0.7778673287962575
26,-0.5415540720141504,0.01685184055112192,-0.5745836794943494,-0.5085244645339514,1.3769952110694044e-226,True,True,0.6233434062194587,0.010392067667558302,0.6029749535910445,0.643711858847873,0.0,True,True,0.6479803260303109,0.5425422900199225,0.829167102709095,0.826880651693192
27,-0.5623625385022404,0.017912717398839303,-0.5974714646039654,-0.5272536124005154,2.3978919362129807e-216,True,True,0.5952361769540839,0.008781883077682183,0.5780236861218269,0.612448667786341,0.0,True,True,0.6483468224425992,0.5703852689229618,0.8016119068811285,0.8273483337817714
28,-0.6512358081488745,0.009425999258790844,-0.6697107666961045,-0.6327608496016445,0.0,True,True,0.5406333904364224,0.006546620732026716,0.52780201380165,0.5534647670711949,0.0,True,True,0.7136338831558262,0.7384911642398613,0.8140157708724645,0.9106604424076756
29,-0.673309896690884,0.009044900357802544,-0.691037901392177,-0.655581891989591,0.0,True,True,0.5248125397200833,0.006073527033237635,0.5129084267349375,0.5367166527052292,0.0,True,True,0.7280600410256015,0.7923556472022211,0.8200348050275171,0.929069505679499
30,-0.6622657725146898,0.011822837403517805,-0.6854385338255846,-0.6390930112037949,0.0,True,True,0.5393275140045349,0.007682986525410673,0.52426886041473,0.5543861675943399,0.0,True,True,0.7274484300805346,0.7469654175769851,0.8076881008399529,0.9282890355995849
31,-0.6837090958748463,0.011545236472008362,-0.7063377593599827,-0.6610804323897099,0.0,True,True,0.5335443450046913,0.006218667822499297,0.5213557560725927,0.5457329339367899,0.0,True,True,0.7513633778101263,0.867046111437897,0.898388700939609,0.9588066404858301
