r_squared,mse,pearson_r,log_loss,brier,auc,model,code,information_set,sharing,task,states,episodes,parameter_count,task_count,model_category,task_rank,best_task_specific_model,best_task_specific_interpretable
0.19481297775447548,1.8688538152881542,0.4417651961491744,0.5655864979193453,0.1582562111913045,0.6236575346005115,sticky_termination,M10,observable,task_specific,bandit,1800,78,9,3,interpretable,13,False,False
0.19323929113386384,1.8725063707364475,0.4428386197750916,0.5655642023695684,0.16003063477089152,0.7844648655166178,previous_outcome,M2,observable,task_specific,bandit,1800,78,9,3,interpretable,14,False,False
0.1507826611058829,1.9710489860791414,0.391408779604269,0.5847087452190571,0.1625912412413727,0.7390040564632119,disengagement_accumulator,M13,observable,task_specific,bandit,1800,78,6,3,interpretable,15,False,False
0.1507826611058829,1.9710489860791414,0.391408779604269,0.5847087452190571,0.1625912412413727,0.7390040564632119,generic_latent_value,M15,observable,task_specific,bandit,1800,78,6,3,interpretable,16,False,False
0.051265483073090534,2.202030177671898,0.22867304209948125,0.5944077527318775,0.16264931000852872,0.6307283547639758,termination_advantage,M9,observable,task_specific,bandit,1800,78,6,3,interpretable,17,False,False
0.9445902626979119,0.08496408350087471,0.9722467063540017,0.637938843443468,0.21916854601679325,0.7460899820862615,gru,M18,observable,shared_architecture_task_observation,foraging,364,118,26650,3,flexible,1,True,False
0.929631975200445,0.1079007955274262,0.9644698413988916,0.6355487230098811,0.217769065821083,0.7463139038170042,mlp,M17,observable,shared_architecture_task_observation,foraging,364,118,3738,3,flexible,2,False,False
0.842808163850205,0.24103453549099735,0.9189430653324395,0.6414314652564029,0.220808291651358,0.7416287722199256,flexible_linear,M16,observable,task_specific,foraging,364,118,75,3,flexible,3,False,False
0.7329186614124252,0.4095367034419226,0.8583384922569132,0.6400743242876307,0.22156058049349822,0.7461588810803362,sticky_termination,M10,observable,task_specific,foraging,364,118,9,3,interpretable,4,False,True
0.7166992975421412,0.43440712249287056,0.8499489950747828,0.6433040707133691,0.2231793535620614,0.7496038307840706,mvt_like_foraging_threshold,M12,observable,task_specific,foraging,364,118,4,1,interpretable,5,False,False
0.6703754272714354,0.5054391355180544,0.8190861594759526,0.64604624753289,0.22209882293045372,0.7455043406366267,finite_history,M5,observable,shared_architecture_task_observation,foraging,364,118,24,3,interpretable,6,False,False
0.6699334466268061,0.5061168590053781,0.8187659495574878,0.6468477502444268,0.22250366256930107,0.7473129392310872,choice_inertia,M4,observable,task_specific,foraging,364,118,15,3,interpretable,7,False,False
0.6686766777395067,0.5080439610253651,0.8179991943461125,0.6375503289592389,0.22082454627903686,0.731638418079096,decomposed_meta_control,M11,observable,task_specific,foraging,364,118,21,3,interpretable,8,False,False
0.6532486322748663,0.5317009896802112,0.8088966274725127,0.6496957422233252,0.2252172776965906,0.760334849111203,previous_outcome,M2,observable,task_specific,foraging,364,118,9,3,interpretable,9,False,False
0.6287763965617794,0.5692261825401573,0.7931336543188257,0.6516658311242303,0.22573360328749292,0.7521186440677966,streak,M3,observable,task_specific,foraging,364,118,12,3,interpretable,10,False,False
0.6015800244704718,0.6109285067487877,0.7758849839183107,0.6610557871256496,0.22916963484035027,0.7286585365853658,time,M1,observable,task_specific,foraging,364,118,9,3,interpretable,11,False,False
