feature_group,description,features,task,full_r_squared,ablated_r_squared,delta_r_squared,full_mse,ablated_mse,delta_mse,full_log_loss,ablated_log_loss,delta_log_loss
cost,Harmonized task-specific displayed action cost.,cost_pressure,solvability,0.8636924039267634,0.7808946423974579,0.08279776152930551,0.9242766529639214,1.4857129932988633,0.5614363403349419,0.4777519134608425,0.5609759441833815,0.08322403072253898
cost,Harmonized task-specific displayed action cost.,cost_pressure,macro,0.8400155287606274,0.792833495363135,0.047182033397492384,0.5326914306714537,0.7498646848036885,0.21717325413223476,0.5199487609748105,0.5455938120974295,0.025645051122619056
progress_solvability,Cumulative progress and task-appropriate progress evidence.,cumulative_progress;progress_evidence,bandit,0.8135460185049137,0.809719757357539,0.003826261147374721,0.4327631035594423,0.4416439257113169,0.008880822151874579,0.440662904207186,0.44081415745605185,0.0001512532488658347
progress_solvability,Cumulative progress and task-appropriate progress evidence.,cumulative_progress;progress_evidence,foraging,0.842808163850205,0.8406697218170157,0.0021384420331892473,0.24103453549099735,0.24431357589646097,0.003279040405463618,0.6414314652564029,0.6414724312912627,4.096603485981287e-05
progress_solvability,Cumulative progress and task-appropriate progress evidence.,cumulative_progress;progress_evidence,solvability,0.8636924039267634,0.8597390220686297,0.003953381858133653,0.9242766529639214,0.951083805734489,0.026807152770567666,0.4777519134608425,0.4805442017548267,0.002792288293984202
progress_solvability,Cumulative progress and task-appropriate progress evidence.,cumulative_progress;progress_evidence,macro,0.8400155287606274,0.8367095004143948,0.0033060283462325035,0.5326914306714537,0.5456804357807556,0.012989005109301899,0.5199487609748105,0.5209435968340471,0.0009948358592366535
derived_termination,Observable termination advantage (continuation minus outside option).,termination_advantage,bandit,0.8135460185049137,0.8135460187103807,-2.054669767659334e-10,0.4327631035594423,0.4327631030825496,-4.76892692002906e-10,0.440662904207186,0.4406629041263351,-8.085093705645363e-11
derived_termination,Observable termination advantage (continuation minus outside option).,termination_advantage,foraging,0.842808163850205,0.8428081282288451,3.562135986179271e-08,0.24103453549099735,0.24103459011201434,5.462101698716637e-08,0.6414314652564029,0.6414313968370337,-6.841936928125847e-08
derived_termination,Observable termination advantage (continuation minus outside option).,termination_advantage,solvability,0.8636924039267634,0.8636924075063053,-3.5795418851236604e-09,0.9242766529639214,0.9242766286917086,-2.427221279521774e-08,0.4777519134608425,0.4777519136928571,2.320145742196189e-10
derived_termination,Observable termination advantage (continuation minus outside option).,termination_advantage,macro,0.8400155287606274,0.8400155181485104,1.0612116962960272e-08,0.5326914306714537,0.5326914406287575,9.957303759300373e-09,0.5199487609748105,0.519948738218742,-2.27560684740169e-08
