feature_group,task,metric,estimate,ci_low,ci_high,samples,clusters
continuation_value,foraging,delta_r_squared,1.0199353680944604e-06,-1.6432136253517814e-06,3.45355359948266e-06,2000,59
continuation_value,foraging,delta_mse,1.5160324734420084e-06,-2.538261633077549e-06,5.132519571793281e-06,2000,59
continuation_value,foraging,delta_log_loss,-1.085517970343397e-06,-2.6439861428945167e-06,4.175392070232534e-07,2000,59
continuation_value,solvability,delta_r_squared,-1.3357367140507005e-07,-1.537310108818327e-06,1.0121129148791764e-06,2000,59
continuation_value,solvability,delta_mse,-4.6064011621965716e-07,-7.76570665348697e-06,7.776289194277856e-06,2000,59
continuation_value,solvability,delta_log_loss,1.3596688290562764e-06,-9.331364839298972e-07,3.576234381560956e-06,2000,59
continuation_value,macro,delta_r_squared,2.9538130318266197e-07,-7.028627769551578e-07,1.1977054234749897e-06,2000,196
continuation_value,macro,delta_mse,3.516333049647473e-07,-2.4614679098859673e-06,3.2900053334212016e-06,2000,196
continuation_value,macro,delta_log_loss,9.135742921678736e-08,-7.928773291060453e-07,9.674619806503593e-07,2000,196
outside_option,bandit,delta_r_squared,2.7709416257213726e-16,-5.508425992754117e-16,1.1704106069958042e-15,2000,78
outside_option,bandit,delta_mse,6.229183835415597e-16,-1.27675647831893e-15,2.609024107869118e-15,2000,78
outside_option,bandit,delta_log_loss,3.8496983378877303e-17,-6.661338147750939e-16,7.216449660063518e-16,2000,78
outside_option,foraging,delta_r_squared,3.5087183220496e-08,-2.342099603974027e-08,9.767322850417962e-08,2000,59
outside_option,foraging,delta_mse,5.2403614814663934e-08,-3.715063169595911e-08,1.41764241495812e-07,2000,59
outside_option,foraging,delta_log_loss,-1.9847018763979873e-08,-5.520991154250865e-08,1.2279366701228848e-08,2000,59
outside_option,solvability,delta_r_squared,5.57211283018131e-10,-2.915872668987983e-08,2.7781911708244658e-08,2000,59
outside_option,solvability,delta_mse,7.807454707908779e-09,-1.6757966340430475e-07,1.9724708950064046e-07,2000,59
outside_option,solvability,delta_log_loss,5.015402201985486e-08,-6.6561663153441584e-09,1.039452689782782e-07,2000,59
outside_option,macro,delta_r_squared,1.188146492686943e-08,-9.715276900366049e-09,3.4685727259033984e-08,2000,196
outside_option,macro,delta_mse,2.0070356715163696e-08,-4.707665934300387e-08,8.893227893870999e-08,2000,196
outside_option,macro,delta_log_loss,1.0102334431457324e-08,-1.1719615198209816e-08,3.091910476676896e-08,2000,196
cost,bandit,delta_r_squared,3.0231602732883555e-16,-5.368502562705517e-16,1.1948692961382704e-15,2000,78
cost,bandit,delta_mse,6.850353617693372e-16,-1.2226331058684536e-15,2.609024107869118e-15,2000,78
cost,bandit,delta_log_loss,4.549138843401579e-17,-6.661338147750939e-16,7.216449660063518e-16,2000,78
cost,foraging,delta_r_squared,0.05998353137961391,0.027870402147314687,0.10117084378723616,2000,59
cost,foraging,delta_mse,0.09002039727808073,0.045134460694042026,0.13857354002308642,2000,59
cost,foraging,delta_log_loss,-0.006674623188611187,-0.02381093276383914,0.00921952649818481,2000,59
cost,solvability,delta_r_squared,0.08462251342420919,0.05647105785836374,0.11559281767694957,2000,59
cost,solvability,delta_mse,0.5625981929216066,0.356647948437133,0.7728328314071955,2000,59
cost,solvability,delta_log_loss,0.08353897202637689,0.02442441969148276,0.14596902099105954,2000,59
cost,macro,delta_r_squared,0.0482020149346078,0.03391834534635205,0.06485579541483452,2000,196
cost,macro,delta_mse,0.21753953006656263,0.1470164443679795,0.28700098028296417,2000,196
cost,macro,delta_log_loss,0.025621449612588585,0.006057441724830564,0.046930682638293426,2000,196
progress_solvability,bandit,delta_r_squared,0.0038008013822046277,-0.0015943685103370383,0.009890455463014732,2000,78
progress_solvability,bandit,delta_mse,0.00875936099776139,-0.0035294679703305725,0.022999731078466732,2000,78
progress_solvability,bandit,delta_log_loss,0.00014147919663301601,-0.0007897757978982858,0.0010619510345042478,2000,78
progress_solvability,foraging,delta_r_squared,0.002136555267491821,-0.0015564943719339976,0.005872040420232491,2000,59
progress_solvability,foraging,delta_mse,0.0032487604300453564,-0.002341075760464082,0.009050231554639429,2000,59
progress_solvability,foraging,delta_log_loss,5.456790951250193e-05,-0.0019423299061966908,0.0022866849810031726,2000,59
progress_solvability,solvability,delta_r_squared,0.004041164588057489,0.0008209728866173006,0.007471453153726727,2000,59
progress_solvability,solvability,delta_mse,0.026983707478506477,0.005137777889255906,0.04998132892694805,2000,59
progress_solvability,solvability,delta_log_loss,0.0027986312243520653,-0.0021595438316209274,0.008693703823231787,2000,59
progress_solvability,macro,delta_r_squared,0.0033261737459179797,0.0008680614448408996,0.006021593032553807,2000,196
progress_solvability,macro,delta_mse,0.012997276302104406,0.003967286688010168,0.022751872744349987,2000,196
progress_solvability,macro,delta_log_loss,0.000998226110165861,-0.0008450279156597495,0.0031159638569122363,2000,196
derived_termination,bandit,delta_r_squared,-2.0312496744843102e-10,-8.783992042893875e-10,4.231500893994543e-10,2000,78
derived_termination,bandit,delta_mse,-4.55614515143532e-10,-1.931936782773036e-09,1.015819590943767e-09,2000,78
derived_termination,bandit,delta_log_loss,-7.558772727178642e-11,-4.241742124211356e-10,2.573469284894436e-10,2000,78
derived_termination,foraging,delta_r_squared,3.723641867152926e-08,-1.1570012365056782e-07,1.7739694251184103e-07,2000,59
derived_termination,foraging,delta_mse,5.5882902217085915e-08,-1.7184001135095439e-07,2.6090170603815244e-07,2000,59
derived_termination,foraging,delta_log_loss,-6.724581464906399e-08,-1.5924541241219003e-07,2.084381179046078e-08,2000,59
derived_termination,solvability,delta_r_squared,-5.635910160739226e-09,-4.278574740460833e-08,2.5558151561458742e-08,2000,59
derived_termination,solvability,delta_mse,-2.5800358351424356e-08,-2.2558716011034096e-07,2.006994085868017e-07,2000,59
derived_termination,solvability,delta_log_loss,1.2591545865414666e-09,-5.2816154130774784e-08,5.1809283074799546e-08,2000,59
derived_termination,macro,delta_r_squared,1.0465794514447199e-08,-3.979469134491002e-08,5.7978244526690794e-08,2000,196
derived_termination,macro,delta_mse,9.875643116839342e-09,-9.322456758729484e-08,1.0870384965176258e-07,2000,196
derived_termination,macro,delta_log_loss,-2.202074926326477e-08,-5.860655414533881e-08,1.2171992399186561e-08,2000,196
