model,information_set,sharing,best_flexible_reference,fraction_best_flexible_r_squared_raw,delta_r_squared_best_flexible_minus_model,fraction_reducible_choice_log_loss,raw_r_squared,raw_log_loss
oracle_policy,observable,shared_architecture_task_observation,gru,1.1149677950456185,-0.10311310833952358,1.0,1.0,0.47044222486619364
mlp,observable,shared_architecture_task_observation,gru,0.9502004712099011,0.04466454458270819,0.7913872268453471,0.8522223470777682,0.5193778858851746
gru,observable,shared_architecture_task_observation,gru,1.0,0.0,0.8240389709525575,0.8968868916604764,0.5117185529634823
intercept,observable,task_specific,flexible_linear,-0.0021864903307632017,0.8418522145919534,0.0,-0.0018366858313260497,0.7050187576401626
time,observable,task_specific,flexible_linear,0.5062808062965667,0.41473178955806017,0.3557103241518196,0.4252837392025672,0.6215774631287242
previous_outcome,observable,task_specific,flexible_linear,0.5508342637921286,0.37730619340181154,0.3553302521702944,0.4627093353588158,0.6216666190963549
streak,observable,task_specific,flexible_linear,0.5486316273103566,0.37915644225071465,0.349515473081735,0.4608590865099127,0.6230306298137958
choice_inertia,observable,task_specific,flexible_linear,0.8299282942609034,0.14286287382364904,0.6324720383058021,0.6971526549369783,0.5566556598179027
finite_history,observable,task_specific,flexible_linear,0.8379606591455424,0.1361155625878807,0.6302308645100297,0.7038999661727466,0.5571813865962588
rescorla_wagner,observable,task_specific,flexible_linear,0.3355669088739532,0.5581341143683043,0.6499733911039913,0.28188141439232306,0.5525502531596495
bayesian,observable,task_specific,flexible_linear,0.3414875335326284,0.553160697715054,0.6359749804000673,0.2868548310455733,0.555833951806922
value_history_hybrid,observable,task_specific,flexible_linear,0.6588960758109194,0.28653259324001557,0.9030056688201252,0.5534829355206118,0.49319481877309873
termination_advantage,observable,task_specific,flexible_linear,0.06262947585998728,0.7874057964800992,-0.003887796400677812,0.052609732280528156,0.7059307434399648
sticky_termination,observable,task_specific,flexible_linear,0.4347877656347036,0.47478705391234005,0.2708726967769016,0.3652284748482873,0.6414783796071024
decomposed_meta_control,observable,task_specific,flexible_linear,0.671697198769031,0.27577945116962754,0.5868982167571479,0.5642360775909998,0.5673462088620456
mvt_like_foraging_threshold,observable,task_specific,flexible_linear,0.8531976767138711,0.12331623121848612,0.26308977371687875,0.7166992975421412,0.6433040707133691
disengagement_accumulator,observable,task_specific,flexible_linear,0.10211968948322891,0.7542334038025017,0.009894496593602652,0.08578212495812561,0.7026977409356915
latent_commitment,observable,task_specific,flexible_linear,0.22392715509878833,0.6519132411664557,0.1618811051692103,0.1881022875941717,0.6670452492679511
generic_latent_value,observable,task_specific,flexible_linear,0.10211968948322891,0.7542334038025017,0.009894496593602652,0.08578212495812561,0.7026977409356915
flexible_linear,observable,task_specific,flexible_linear,1.0,0.0,0.7889535857522463,0.8400155287606274,0.5199487609748105
oracle_policy,observable,task_specific,flexible_linear,1.1904541830023265,-0.15998447123937265,1.0,1.0,0.47044222486619364
