cross_task_rank,model,code,information_set,sharing,parameter_count,task_count,states,episodes,r_squared,pooled_task_balanced_r_squared,mse,pooled_task_balanced_mse,pearson_r,pooled_task_balanced_pearson_r,log_loss,pooled_task_balanced_log_loss,brier,pooled_task_balanced_brier,auc,pooled_task_balanced_auc,model_category,evaluated_tasks,eligible_cross_task,best_cross_task_model,best_cross_task_interpretable
20,latent_commitment,M14,observable,task_specific,12,3,2477,314,0.1881022875941717,0.44566995227223394,2.8897538360045147,2.889753836004515,0.43492622863689406,0.6679667585884181,0.6670452492679511,0.667045249267951,0.22085880615092698,0.22085880615092698,0.6682114247634163,0.840742939788384,interpretable,bandit;foraging;solvability,True,False,False
21,latent_commitment,M14,observable,shared_architecture_task_observation,12,3,2477,314,0.14426160207968663,0.43003336237436895,2.971268261976199,2.9712682619761988,0.3790749638145383,0.6561683681089455,0.6670234838022026,0.6670234838022024,0.22092885232493922,0.22092885232493925,0.6256775966702977,0.8180216183299079,interpretable,bandit;foraging;solvability,True,False,False
22,disengagement_accumulator,M13,observable,task_specific,6,3,2477,314,0.08578212495812561,0.3650344576360285,3.3101112221831044,3.310111222183104,0.28733032119937113,0.6043261812203112,0.7026977409356915,0.7026977409356913,0.24028900242687593,0.24028900242687593,0.6052606811659328,0.8367861764481997,interpretable,bandit;foraging;solvability,True,False,False
23,generic_latent_value,M15,observable,task_specific,6,3,2477,314,0.08578212495812561,0.3650344576360285,3.3101112221831044,3.310111222183104,0.28733032119937113,0.6043261812203112,0.7026977409356915,0.7026977409356913,0.24028900242687593,0.24028900242687593,0.6052606811659328,0.8367861764481997,interpretable,bandit;foraging;solvability,True,False,False
24,disengagement_accumulator,M13,observable,shared_architecture_task_observation,6,3,2477,314,0.052609732280528156,0.35026505486262327,3.3871049527140236,3.3871049527140236,0.23308507536444192,0.5919235178886317,0.7059307434399648,0.7059307434399648,0.24030835868259462,0.24030835868259462,0.5691687805995208,0.8176463423917181,interpretable,bandit;foraging;solvability,True,False,False
25,generic_latent_value,M15,observable,shared_architecture_task_observation,6,3,2477,314,0.052609732280528156,0.35026505486262327,3.3871049527140236,3.3871049527140236,0.23308507536444192,0.5919235178886317,0.7059307434399648,0.7059307434399648,0.24030835868259462,0.24030835868259462,0.5691687805995208,0.8176463423917181,interpretable,bandit;foraging;solvability,True,False,False
26,termination_advantage,M9,observable,shared_architecture_task_observation,6,3,2477,314,0.052609732280528156,0.35026505486262327,3.3871049527140236,3.3871049527140236,0.23308507536444192,0.5919235178886317,0.7059307434399648,0.7059307434399648,0.24030835868259462,0.24030835868259462,0.5691687805995208,0.8176463423917181,interpretable,bandit;foraging;solvability,True,False,False
27,termination_advantage,M9,observable,task_specific,6,3,2477,314,0.052609732280528156,0.35026505486262327,3.3871049527140236,3.3871049527140236,0.23308507536444192,0.5919235178886317,0.7059307434399648,0.7059307434399648,0.24030835868259462,0.24030835868259462,0.5691687805995208,0.8176463423917181,interpretable,bandit;foraging;solvability,True,False,False
28,sticky_termination,M10,observable,fully_shared,3,3,2477,314,-0.24725627841804906,0.2566107076132482,3.8753303526030307,3.87533035260303,0.2647602718542763,0.5065819347959293,0.7195443154124264,0.7195443154124264,0.24949322020140038,0.24949322020140038,0.6047771861612972,0.8179744233843343,interpretable,bandit;foraging;solvability,True,False,False
29,finite_history,M5,observable,fully_shared,6,3,2477,314,-0.2894152907566636,0.1924908120176715,4.209590988520287,4.209590988520287,0.31429429836050843,0.4387761051036141,0.7489598268414026,0.7489598268414027,0.27139241822500443,0.27139241822500443,0.6471038520000734,0.8071279591992083,interpretable,bandit;foraging;solvability,True,False,False
30,choice_inertia,M4,observable,fully_shared,5,3,2477,314,-0.2925369597492055,0.1917133143865396,4.213644127568509,4.213644127568509,0.30884454661068517,0.437910567331249,0.748197058922304,0.748197058922304,0.27100473586382506,0.27100473586382506,0.6484172874962811,0.8090652355941235,interpretable,bandit;foraging;solvability,True,False,False
31,time,M1,observable,fully_shared,3,3,2477,314,-0.32946600679598853,0.16789984815347103,4.337785071537992,4.337785071537993,0.11673682869510905,0.4102598242797608,0.7714105615300376,0.7714105615300376,0.27872925907140356,0.27872925907140356,0.5909741054578191,0.7747956154373145,interpretable,bandit;foraging;solvability,True,False,False
32,decomposed_meta_control,M11,observable,fully_shared,7,3,2477,314,-0.3304136261804685,0.1956458652319053,4.1931435179817464,4.1931435179817464,0.27825487427293477,0.44273117836597,0.7768467347771527,0.7768467347771527,0.26666171755858364,0.26666171755858364,0.5974069047487184,0.7372261551343533,interpretable,bandit;foraging;solvability,True,False,False
33,latent_commitment,M14,observable,fully_shared,4,3,2477,314,-0.40288207373173446,0.18003849263417016,4.2745056325182595,4.274505632518259,0.24219734497850096,0.4248192512274807,0.7610997793389606,0.7610997793389604,0.26068086884225405,0.26068086884225405,0.5942525225625478,0.7399748801096141,interpretable,bandit;foraging;solvability,True,False,False
34,disengagement_accumulator,M13,observable,fully_shared,2,3,2477,314,-0.4369868620704498,0.16263336415791896,4.365239549949881,4.365239549949881,0.23308507536444192,0.40349542975209973,0.7596070746744642,0.7596070746744642,0.2609869975934684,0.2609869975934684,0.5691687805995208,0.7158704422623126,interpretable,bandit;foraging;solvability,True,False,False
35,generic_latent_value,M15,observable,fully_shared,2,3,2477,314,-0.4369868620704498,0.16263336415791896,4.365239549949881,4.365239549949881,0.23308507536444192,0.40349542975209973,0.7596070746744642,0.7596070746744642,0.2609869975934684,0.2609869975934684,0.5691687805995208,0.7158704422623126,interpretable,bandit;foraging;solvability,True,False,False
36,termination_advantage,M9,observable,fully_shared,2,3,2477,314,-0.4369868620704498,0.16263336415791896,4.365239549949881,4.365239549949881,0.23308507536444192,0.40349542975209973,0.7596070746744642,0.7596070746744642,0.2609869975934684,0.2609869975934684,0.5691687805995208,0.7158704422623126,interpretable,bandit;foraging;solvability,True,False,False
37,streak,M3,observable,fully_shared,4,3,2477,314,-0.47153478377728714,0.17324948118589167,4.309897132502354,4.309897132502355,0.13420755086314426,0.41647267157598095,0.7600413822473406,0.7600413822473404,0.2708622580937065,0.27086225809370645,0.5986184643257338,0.7801773616503007,interpretable,bandit;foraging;solvability,True,False,False
38,previous_outcome,M2,observable,fully_shared,3,3,2477,314,-0.5335624064859573,0.15012327080563526,4.4304553729090035,4.430455372909004,0.11497604754870723,0.3875878042093801,0.764979094277666,0.7649790942776659,0.2728550252992354,0.2728550252992354,0.6041018679665033,0.7912164116617189,interpretable,bandit;foraging;solvability,True,False,False
