layer,control,control_test_r_squared,test_mse,test_pearson_r,selected_alpha,random_target_r_squared,history_supported,recurrence_supported,sequence_reason,projection_dimensions,train_states,validation_states,test_states,persistence_test_r_squared,delta_r_squared_persistence_minus_control
29,arbitrary_choice,0.9947621671667427,0.08211141585199452,0.9973983973976315,1.0,0.057116661035033656,False,False,one_shot_control,128,528,100,108,0.997013179319818,0.002251012153075327
30,arbitrary_choice,0.9947959246283298,0.08158221359321205,0.9974112082587161,1.0,-0.04024508521191783,False,False,one_shot_control,128,528,100,108,0.9960858666822806,0.0012899420539508322
31,arbitrary_choice,0.994486203777268,0.08643758382154115,0.9972980658486473,10.0,0.03117717004021814,False,False,one_shot_control,128,528,100,108,0.9954857477078729,0.0009995439306048626
0,generic_value,0.2208991886005095,25.178874308229236,0.525792593202075,10.0,0.07232625218003874,False,False,one_shot_control,128,528,100,96,0.9500596793364328,0.7291604907359233
1,generic_value,0.3957862137313427,19.526899160110094,0.6331872587046052,10.0,-0.039579907437951256,False,False,one_shot_control,128,528,100,96,0.9613820776875102,0.5655958639561675
2,generic_value,0.3569252534870603,20.782802400321405,0.6057692081212548,10.0,-0.06818750697530551,False,False,one_shot_control,128,528,100,96,0.9629581137722227,0.6060328602851625
3,generic_value,0.40147339158436557,19.343101717937518,0.6481219166552512,10.0,-0.14754658841483792,False,False,one_shot_control,128,528,100,96,0.9643128372326714,0.5628394456483058
4,generic_value,0.496260831539559,16.279774094977473,0.715303414893397,0.1,0.024961265878956418,False,False,one_shot_control,128,528,100,96,0.9635236944005067,0.46726286286094765
5,generic_value,0.6080726533782497,12.666254808309775,0.7798674129610809,10.0,-0.04970027135750099,False,False,one_shot_control,128,528,100,96,0.9623400356860419,0.3542673823077922
6,generic_value,0.594930784768925,13.090971934832927,0.7937819323031949,0.01,-0.24543090146530644,False,False,one_shot_control,128,528,100,96,0.970937239362169,0.376006454593244
7,generic_value,0.5751429663244481,13.73047196635333,0.7890928926565444,1.0,0.1129416200940313,False,False,one_shot_control,128,528,100,96,0.9724540324724736,0.3973110661480256
8,generic_value,0.7434111072543605,8.292405019736824,0.8645761868769604,1.0,-0.1358263639049544,False,False,one_shot_control,128,528,100,96,0.9759534004368877,0.23254229318252717
9,generic_value,0.8264249475179459,5.609574994074753,0.9118019398797365,1.0,-0.03392301589074509,False,False,one_shot_control,128,528,100,96,0.9791689311470693,0.15274398362912334
10,generic_value,0.8750481725323513,4.038176205644146,0.9362341102693643,1.0,-0.09418895624725931,False,False,one_shot_control,128,528,100,96,0.9790103289578074,0.10396215642545603
11,generic_value,0.911034459230197,2.875176275048066,0.9551160665511866,1.0,-0.03458191653291709,False,False,one_shot_control,128,528,100,96,0.9790614528505673,0.06802699362037035
12,generic_value,0.9162140103299579,2.707784245408584,0.9584677029703164,1.0,-0.221262312656892,False,False,one_shot_control,128,528,100,96,0.9793272300615503,0.06311321973159245
13,generic_value,0.9706380033403419,0.9489170239781662,0.9852820600751594,1.0,0.07515051624798041,False,False,one_shot_control,128,528,100,96,0.9771274778215142,0.006489474481172319
14,generic_value,0.9639433118317018,1.1652751557655348,0.9830852821128783,0.1,0.0406372621196629,False,False,one_shot_control,128,528,100,96,0.9769107347354257,0.01296742290372388
15,generic_value,0.9952090325503371,0.15483383596172856,0.9976208353966507,0.1,-0.10628931599130098,False,False,one_shot_control,128,528,100,96,0.9807563744078106,-0.014452658142526498
16,generic_value,0.9960698495901793,0.12701406767059578,0.998089868856836,1.0,-0.1341553387061034,False,False,one_shot_control,128,528,100,96,0.984781164481141,-0.011288685109038354
17,generic_value,0.9974878919020168,0.08118596864786418,0.9987475775000285,0.01,0.016290367654421045,False,False,one_shot_control,128,528,100,96,0.9902073236244081,-0.007280568277608701
18,generic_value,0.9983915433840262,0.05198188266688511,0.9991984528486819,1.0,-0.10974065659236021,False,False,one_shot_control,128,528,100,96,0.9904204855376616,-0.007971057846364649
19,generic_value,0.9985574198198779,0.04662111052046226,0.999304095986773,1.0,0.004301304880109158,False,False,one_shot_control,128,528,100,96,0.9947319445716826,-0.0038254752481953203
20,generic_value,0.9981552633596774,0.05961794843344052,0.9991233701912178,1.0,-0.08657165360342445,False,False,one_shot_control,128,528,100,96,0.9940673329991836,-0.004087930360493819
21,generic_value,0.998604213345832,0.045108843697992486,0.999336832460392,0.1,-0.04588526157891093,False,False,one_shot_control,128,528,100,96,0.99500601964368,-0.003598193702152086
22,generic_value,0.9991980379276396,0.025917701437966584,0.999608819552491,0.1,0.07225974402068802,False,False,one_shot_control,128,528,100,96,0.9947882826045117,-0.0044097553231279285
23,generic_value,0.998595622576017,0.04538647903121151,0.9992981308081627,0.1,0.03214732038855184,False,False,one_shot_control,128,528,100,96,0.9958293066034555,-0.002766315972561495
24,generic_value,0.9985206976855555,0.04780789147474369,0.9992608496328648,0.1,-0.01992654722615228,False,False,one_shot_control,128,528,100,96,0.9961353454350531,-0.002385352250502404
25,generic_value,0.9987096492394579,0.0417013807941703,0.9993659498863021,0.1,0.07408308260348828,False,False,one_shot_control,128,528,100,96,0.9958469349851148,-0.002862714254343146
26,generic_value,0.998330618369593,0.05395084901654692,0.9991845553511297,0.1,-0.08799390222996384,False,False,one_shot_control,128,528,100,96,0.9962281916932634,-0.0021024266763296495
27,generic_value,0.9981332620333624,0.06032898431197694,0.9990671413694312,1.0,-0.031477027930642,False,False,one_shot_control,128,528,100,96,0.9966188574011632,-0.0015144046321992066
28,generic_value,0.998144644043656,0.0599611420477087,0.9991086690388115,0.01,-0.06819608163597768,False,False,one_shot_control,128,528,100,96,0.9971292775644476,-0.0010153664792084127
29,generic_value,0.9979450592223845,0.0664112972203089,0.9990102359212467,0.01,-0.20657318460711482,False,False,one_shot_control,128,528,100,96,0.997013179319818,-0.0009318799025664903
30,generic_value,0.9984820558798874,0.04905671210710011,0.9992532484024823,0.1,0.0004943854145623705,False,False,one_shot_control,128,528,100,96,0.9960858666822806,-0.0023961891976067573
31,generic_value,0.9987755106177852,0.03957288170598216,0.9993981332029834,0.1,-0.1764718854753473,False,False,one_shot_control,128,528,100,96,0.9954857477078729,-0.0032897629099123415
0,terminality,0.7519043002925606,6.142668652371083,0.8726190652124102,100.0,-0.16256089023818054,False,False,one_shot_control,128,532,108,116,0.9500596793364328,0.19815537904387215
1,terminality,0.7926886410440113,5.132878108895394,0.8928672359855093,10.0,-0.15265611912502175,False,False,one_shot_control,128,532,108,116,0.9613820776875102,0.1686934366434989
2,terminality,0.7264441156276679,6.7730442631093535,0.8531283507800425,10.0,-0.121500878241662,False,False,one_shot_control,128,532,108,116,0.9629581137722227,0.23651399814455487
3,terminality,0.7764124683789639,5.535864278055373,0.8813927663384656,10.0,-0.08730133151666397,False,False,one_shot_control,128,532,108,116,0.9643128372326714,0.18790036885370742
4,terminality,0.7537377392681726,6.097274039990425,0.8700103087838332,100.0,-0.029542567001787257,False,False,one_shot_control,128,532,108,116,0.9635236944005067,0.2097859551323341
5,terminality,0.7118022362149439,7.135566522811545,0.8451292089792558,100.0,-0.03394531889021013,False,False,one_shot_control,128,532,108,116,0.9623400356860419,0.250537799471098
6,terminality,0.7049937958504751,7.304138542591324,0.8424582101733196,10.0,0.03845415200185354,False,False,one_shot_control,128,532,108,116,0.970937239362169,0.26594344351169397
7,terminality,0.756588552036755,6.026689994204864,0.8701863003082804,10.0,0.04192177572432276,False,False,one_shot_control,128,532,108,116,0.9724540324724736,0.21586548043571863
8,terminality,0.7589961090595474,5.967080637532655,0.871267135315573,10.0,-0.014465742850873431,False,False,one_shot_control,128,532,108,116,0.9759534004368877,0.21695729137734032
9,terminality,0.7371995232279642,6.506748212078555,0.8595722083002917,10.0,0.0723142876853966,False,False,one_shot_control,128,532,108,116,0.9791689311470693,0.24196940791910504
