layer,task,status,test_r_squared,test_mse,test_pearson_r,selected_alpha,random_target_r_squared,mapping_control_r_squared,mapping_control_status,projection_dimensions,hidden_width,train_states,validation_states,test_states
11,solvability,fit,0.9883632862044364,0.07890640865446542,0.9942022498342722,0.01,-0.07747278887415021,0.9980538888973698,fit,128,2560,1441,315,313
12,bandit,fit,0.9554306626651132,0.10344624766911518,0.9774871375958719,10.0,-0.01754972714146219,,constant,128,2560,8849,1812,1800
12,foraging,fit,0.9965396668291949,0.005305999464719462,0.9982736889513677,0.1,-0.04783195250546024,0.9989576563256716,fit,128,2560,1505,326,364
12,solvability,fit,0.9860113606903427,0.09485438151005743,0.9930606117115783,0.01,0.0040076015560843725,0.9986770140012934,fit,128,2560,1441,315,313
13,bandit,fit,0.9521845119864564,0.11098062280582495,0.9758555025953963,10.0,-0.001027980283984098,,constant,128,2560,8849,1812,1800
13,foraging,fit,0.9870715532995638,0.01982419838960471,0.9936131928068248,0.1,-0.01600976182042424,0.995883876259889,fit,128,2560,1505,326,364
13,solvability,fit,0.9921263681785226,0.05338964427716285,0.9960617569218941,0.1,-0.011615603206047265,0.9956370448025714,fit,128,2560,1441,315,313
14,bandit,fit,0.9499288212641152,0.11621612225637644,0.9746903467634985,10.0,-0.019403920128938656,,constant,128,2560,8849,1812,1800
14,foraging,fit,0.9877605910351196,0.018767642943765924,0.9938795556557966,1.0,0.04165630508455409,0.9911383657649404,fit,128,2560,1505,326,364
14,solvability,fit,0.9930427919070425,0.04717554410303959,0.996568168425582,0.01,0.039998406218760385,0.9957224447630815,fit,128,2560,1441,315,313
15,bandit,fit,0.9596507580312493,0.09365132908748115,0.9800003186086473,100.0,-0.0019389867924319848,,constant,128,2560,8849,1812,1800
15,foraging,fit,0.9874060573765047,0.019311277128678285,0.9937040900697379,0.1,0.008456354065887961,0.9972358125958218,fit,128,2560,1505,326,364
15,solvability,fit,0.995212307815678,0.032464457117774945,0.9976454176003154,0.1,0.04196303678803581,0.9969725672498543,fit,128,2560,1441,315,313
16,bandit,fit,0.9650221449126073,0.08118424182790333,0.9825169440559964,100.0,-0.028576663918510548,,constant,128,2560,8849,1812,1800
16,foraging,fit,0.9969253173681155,0.00471465133375171,0.9984924699145109,1.0,-0.03564915301258509,0.9912082939087322,fit,128,2560,1505,326,364
16,solvability,fit,0.9923960311627,0.051561109348633775,0.9962596790983789,1.0,-0.04189943549024555,0.9964244481252517,fit,128,2560,1441,315,313
17,bandit,fit,0.9786213495696547,0.04962023892416829,0.9893771758358325,10.0,-0.02588523956299893,,constant,128,2560,8849,1812,1800
17,foraging,fit,0.9974865525400858,0.0038540655534053123,0.9987897506052827,1.0,-0.06010990147065898,0.9940341766511709,fit,128,2560,1505,326,364
17,solvability,fit,0.9945140687634839,0.037199087268423144,0.9972542119889237,0.1,0.005539104507909065,0.992886153669322,fit,128,2560,1441,315,313
18,bandit,fit,0.9794949310087149,0.04759264041568821,0.9897560687656356,0.01,0.0390956667057748,,constant,128,2560,8849,1812,1800
18,foraging,fit,0.9958340210781981,0.0063880212794570216,0.9979439409558987,1.0,0.025110740878594995,0.9895537917714853,fit,128,2560,1505,326,364
18,solvability,fit,0.9959325045260717,0.02758093613923337,0.9979642796833503,0.01,0.009600517194638614,0.9916213818700471,fit,128,2560,1441,315,313
19,bandit,fit,0.9878716225289166,0.028150186085807903,0.9939524971532384,10.0,-0.047316675309893697,,constant,128,2560,8849,1812,1800
19,foraging,fit,0.9988395702007272,0.0017793777621573725,0.9994327394337149,1.0,-0.04291724913471073,0.9964159714487577,fit,128,2560,1505,326,364
19,solvability,fit,0.9974846409854042,0.017056185260314553,0.9987420828077199,1.0,-0.010937982750414577,0.9928581171915833,fit,128,2560,1441,315,313
20,bandit,fit,0.9871603203437675,0.029801131475900557,0.9935649378586933,10.0,-0.04676025642902082,,constant,128,2560,8849,1812,1800
20,foraging,fit,0.9975007729224385,0.003832260329044625,0.9987844234023937,0.1,-0.06853565090317182,0.9933626120323562,fit,128,2560,1505,326,364
20,solvability,fit,0.9975409057313448,0.01667466440193279,0.998770707589084,1.0,0.015873106443942686,0.990287538362956,fit,128,2560,1441,315,313
21,bandit,fit,0.988144334083501,0.027517217576408792,0.994060449784854,10.0,0.027779463843375374,,constant,128,2560,8849,1812,1800
21,foraging,fit,0.999032675774396,0.0014832738843094313,0.9995164200831593,1.0,-0.10208698159882257,0.9946249383228514,fit,128,2560,1505,326,364
21,solvability,fit,0.9978410490731429,0.014639447793626423,0.9989364390356269,0.1,-0.0419134282922935,0.9877650677998563,fit,128,2560,1441,315,313
22,bandit,fit,0.9868497354214897,0.030522004764880217,0.9934182711909749,10.0,-0.022480316598193495,,constant,128,2560,8849,1812,1800
22,foraging,fit,0.9989748889731306,0.001571882905882725,0.9994922962597276,0.1,0.05106591442208508,0.990242576876941,fit,128,2560,1505,326,364
22,solvability,fit,0.9985402234189147,0.009898475589839782,0.9992740362320138,0.01,0.03946889542150589,0.9890923660651456,fit,128,2560,1441,315,313
23,bandit,fit,0.9898036242553798,0.023665974718895085,0.9949010375497112,10.0,-0.003407434717074276,,constant,128,2560,8849,1812,1800
23,foraging,fit,0.9993199679802472,0.0010427462775096268,0.999660372850964,1.0,-0.07684614123569378,0.9974081824190971,fit,128,2560,1505,326,364
23,solvability,fit,0.9983643275747394,0.011091192847044152,0.9991819931894476,0.1,-0.03401400360369333,0.9903807276989658,fit,128,2560,1441,315,313
24,bandit,fit,0.99089878996271,0.021124075068291247,0.9954458214950025,10.0,-0.015958816969507517,,constant,128,2560,8849,1812,1800
24,foraging,fit,0.9989188353634487,0.0016578342892572462,0.9994606013569082,1.0,-0.03272948868391201,0.9975922685766649,fit,128,2560,1505,326,364
24,solvability,fit,0.9985884109790003,0.0095717246380691,0.9992956727074481,0.01,-0.09455442800437641,0.9930966445688022,fit,128,2560,1441,315,313
25,bandit,fit,0.9903247589373093,0.022456411584249877,0.9951545408446251,100.0,-0.003950355820378171,,constant,128,2560,8849,1812,1800
25,foraging,fit,0.9988692296556977,0.0017338986003457724,0.9994347791784671,1.0,-0.011442679514925835,0.9977060881489495,fit,128,2560,1505,326,364
25,solvability,fit,0.9983468163623375,0.011209933146590845,0.9991743123338569,0.01,-0.0388166563687391,0.9899311911379369,fit,128,2560,1441,315,313
26,bandit,fit,0.9913268820059292,0.02013046560097311,0.9956564778808847,100.0,-0.0024582717157177747,,constant,128,2560,8849,1812,1800
26,foraging,fit,0.9988364127689182,0.001784219299275725,0.9994200707053643,1.0,0.024764222474424558,0.994640155983653,fit,128,2560,1505,326,364
26,solvability,fit,0.9985212803049425,0.010026925349672073,0.9992607755125986,0.01,-0.01123394911386022,0.9915578614314101,fit,128,2560,1441,315,313
27,bandit,fit,0.992336838939846,0.017786337072965626,0.9961639028408434,10.0,-0.056274898749475444,,constant,128,2560,8849,1812,1800
27,foraging,fit,0.998941458293431,0.0016231447814985568,0.9994750977313203,1.0,-0.003994922070618134,0.997962817644338,fit,128,2560,1505,326,364
27,solvability,fit,0.9985782749702127,0.009640455043025261,0.9992971942300355,0.1,-0.03477430552785221,0.9959618840657403,fit,128,2560,1441,315,313
28,bandit,fit,0.9943172530841157,0.013189759598272557,0.9971674443668478,10.0,-0.03245964684615954,,constant,128,2560,8849,1812,1800
28,foraging,fit,0.9987050733850077,0.001985612247967955,0.9993532653824446,1.0,0.0034377003663454975,0.9990648544720266,fit,128,2560,1505,326,364
28,solvability,fit,0.9983655062242195,0.01108320064244319,0.9991873188704726,0.1,-0.10014601003908674,0.9947894174825407,fit,128,2560,1441,315,313
29,bandit,fit,0.9943140511118921,0.013197191434406431,0.9971659919254795,0.01,-0.03261702244047249,,constant,128,2560,8849,1812,1800
29,foraging,fit,0.9984218441144475,0.002419909838345937,0.9992157004796505,1.0,-0.03316594555117991,0.9989476151412441,fit,128,2560,1505,326,364
29,solvability,fit,0.9983036427331147,0.01150268555851674,0.9991516043208745,1.0,-0.0033796623535276016,0.9939320135506848,fit,128,2560,1441,315,313
30,bandit,fit,0.9930039596745467,0.01623793763797947,0.9965318156046813,1.0,-0.06221325379697462,,constant,128,2560,8849,1812,1800
30,foraging,fit,0.9971603683414216,0.004354229294317248,0.9985968296613423,0.1,-0.13507451152584427,0.9964033671190748,fit,128,2560,1505,326,364
30,solvability,fit,0.9980932720308736,0.012929170465818608,0.999052585693761,0.1,0.01336762022301019,0.9918462437723203,fit,128,2560,1441,315,313
31,bandit,fit,0.9903934380223325,0.022297006170936114,0.9952663877795108,10.0,-0.010487926387247493,,constant,128,2560,8849,1812,1800
31,foraging,fit,0.998327539109509,0.0025645150775019457,0.9991634475607988,1.0,-0.06553835505420391,0.9983025408091497,fit,128,2560,1505,326,364
31,solvability,fit,0.9977362659917774,0.01534996253030822,0.9988881179351078,0.1,0.0889309969977925,0.9885127875222087,fit,128,2560,1441,315,313
