layer,task,analysis,source_task,target_task,variable,r_squared,pearson_r
5,foraging,semantic_variable_decoding,foraging,foraging,outcome_history_kernel,0.9829479801601251,0.9914929351539388
5,foraging,semantic_variable_decoding,foraging,foraging,finite_history_prediction,0.9820745385974682,0.9910504539725318
5,foraging,semantic_variable_decoding,foraging,foraging,history_summary,0.9615130871711915,0.9820012638061297
5,foraging,semantic_variable_decoding,foraging,foraging,current_evidence,0.9814004784916944,0.990810199703544
5,foraging,semantic_variable_decoding,foraging,foraging,history_x_current_evidence,0.4952919381547304,0.7371700474337537
5,solvability,semantic_variable_decoding,solvability,solvability,previous_semantic_choice,0.9998988539084002,0.9999513180635035
5,solvability,semantic_variable_decoding,solvability,solvability,previous_outcome,0.933447958679393,0.9662802360859177
5,solvability,semantic_variable_decoding,solvability,solvability,choice_history_kernel,0.999873076202372,0.9999365420574193
5,solvability,semantic_variable_decoding,solvability,solvability,outcome_history_kernel,0.932923569151949,0.9659182394428285
5,solvability,semantic_variable_decoding,solvability,solvability,finite_history_prediction,0.9151892328138589,0.9567015754023395
5,solvability,semantic_variable_decoding,solvability,solvability,history_summary,0.9737911971943033,0.9868325717306936
5,solvability,semantic_variable_decoding,solvability,solvability,current_evidence,0.9712909254826717,0.9856998710981867
5,solvability,semantic_variable_decoding,solvability,solvability,history_x_current_evidence,0.7592685095984137,0.8793009716619852
5,foraging,cross_task_readout,bandit,foraging,persistence_logit,-39.038832571699366,-0.37974326141589515
5,solvability,cross_task_readout,bandit,solvability,persistence_logit,-0.19251528704191134,-0.1124364477473983
5,bandit,cross_task_readout,foraging,bandit,persistence_logit,-220.6230858238571,-0.7009227378103853
5,solvability,cross_task_readout,foraging,solvability,persistence_logit,-11.405039364463454,-0.06020153560119659
5,bandit,cross_task_readout,solvability,bandit,persistence_logit,-59.15778860280877,-0.24771545170242312
5,foraging,cross_task_readout,solvability,foraging,persistence_logit,-60.70396483601026,-0.5710115855305893
6,bandit,semantic_variable_decoding,bandit,bandit,previous_semantic_choice,0.9993951980510666,0.9996982404391748
6,bandit,semantic_variable_decoding,bandit,bandit,previous_outcome,0.9705727202825795,0.985245873918152
6,bandit,semantic_variable_decoding,bandit,bandit,choice_history_kernel,0.9987056588533926,0.9993526728523506
6,bandit,semantic_variable_decoding,bandit,bandit,outcome_history_kernel,0.9305633460829912,0.9647806711012602
6,bandit,semantic_variable_decoding,bandit,bandit,finite_history_prediction,0.9237845873705859,0.961168910647873
6,bandit,semantic_variable_decoding,bandit,bandit,history_summary,0.9503129982913994,0.9748782580866459
6,bandit,semantic_variable_decoding,bandit,bandit,current_evidence,0.5201555988141271,0.7405079858260358
6,bandit,semantic_variable_decoding,bandit,bandit,history_x_current_evidence,0.6972826465572244,0.837254256652101
6,foraging,semantic_variable_decoding,foraging,foraging,previous_semantic_choice,0.9999544469661019,0.9999772550351378
6,foraging,semantic_variable_decoding,foraging,foraging,previous_outcome,0.9944889130291387,0.9972493412948832
6,foraging,semantic_variable_decoding,foraging,foraging,choice_history_kernel,0.9998070582264498,0.9999051046686022
6,foraging,semantic_variable_decoding,foraging,foraging,outcome_history_kernel,0.9820792029575154,0.9910212724436892
6,foraging,semantic_variable_decoding,foraging,foraging,finite_history_prediction,0.9878604413541374,0.9939189880925349
6,foraging,semantic_variable_decoding,foraging,foraging,history_summary,0.9596058093127309,0.981423868037917
6,foraging,semantic_variable_decoding,foraging,foraging,current_evidence,0.9654359432025204,0.9830567501431179
6,foraging,semantic_variable_decoding,foraging,foraging,history_x_current_evidence,0.5356008451286125,0.7847210629947042
6,solvability,semantic_variable_decoding,solvability,solvability,previous_semantic_choice,0.9999405169819885,0.9999705589934443
6,solvability,semantic_variable_decoding,solvability,solvability,previous_outcome,0.9715459102214631,0.9860119559177886
6,solvability,semantic_variable_decoding,solvability,solvability,choice_history_kernel,0.9997488111213847,0.9998758655944737
6,solvability,semantic_variable_decoding,solvability,solvability,outcome_history_kernel,0.9562680072648782,0.9778957349648866
