key,feature_type,layer,rank,persistence_sensitivity,persistence_positive_fraction,cross_manipulation_transfer,cross_task_transfer,random_95th,classification,nuisance_arbitrary_choice,nuisance_generic_value,nuisance_label,nuisance_terminality
static-L08-k1,static,8,1,0.06046894192695618,0.9624342322349548,0.04918776694685221,0.022503272940715153,0.0006314956699497998,no_persistence_specific_candidate,0.020204436033964157,0.012387661263346672,0.010723095387220383,0.01430953573435545
static-L08-k2,static,8,2,0.057586587965488434,0.8347107172012329,0.0641985921189189,0.02678920825322469,0.0011244571069255471,no_persistence_specific_candidate,0.019542133435606956,0.019008366391062737,0.017392076551914215,0.018749741837382317
static-L08-k4,static,8,4,0.21371595561504364,0.8189331293106079,0.0952756218612194,0.05121177062392235,0.0020974588114768267,no_persistence_specific_candidate,0.03434574231505394,0.04576798900961876,0.031341880559921265,0.03589579090476036
static-L09-k1,static,9,1,0.06506028026342392,0.9556724429130554,0.04009462147951126,0.02091039251536131,0.0008080349653027952,no_persistence_specific_candidate,0.009272019378840923,0.012185661122202873,0.00805040542036295,0.006703616119921207
static-L09-k2,static,9,2,0.064902164041996,0.7558227181434631,0.05199615005403757,0.02503796045978864,0.001223861356265843,no_persistence_specific_candidate,0.008539305068552494,0.02361789345741272,0.013071693480014801,0.009562555700540543
static-L09-k4,static,9,4,0.2993242144584656,0.7746055722236633,0.08358421325683593,0.045020900666713715,0.0022572102025151253,no_persistence_specific_candidate,0.015133969485759735,0.06243729591369629,0.029040886089205742,0.019010039046406746
static-L10-k1,static,10,1,0.07254311442375183,0.9849737286567688,0.04396702330559492,0.02543778034547965,0.0008179326541721821,no_persistence_specific_candidate,0.004498261958360672,0.015973582863807678,0.013760188594460487,0.007549821399152279
static-L10-k2,static,10,2,0.06929907947778702,0.8512396812438965,0.05372445825487375,0.0262839129815499,0.0013882442144677043,no_persistence_specific_candidate,0.006916910409927368,0.02511380985379219,0.015235573053359985,0.01247203629463911
static-L10-k4,static,10,4,0.34841814637184143,0.9008264541625977,0.08347537815570831,0.046501451482375465,0.0024045147001743317,no_persistence_specific_candidate,0.014200542122125626,0.06270532310009003,0.02802254632115364,0.023118779063224792
static-L11-k1,static,11,1,0.06794366240501404,0.9646881818771362,0.04195264209993184,0.0213681577394406,0.0007333296816796064,no_persistence_specific_candidate,0.014644304290413857,0.01712283305823803,0.025854630395770073,0.009162654168903828
static-L11-k2,static,11,2,0.06599900871515274,0.8189331293106079,0.051032510586082935,0.024039334927996,0.0012595060979947448,no_persistence_specific_candidate,0.009876968339085579,0.04162336513400078,0.026368286460638046,0.01180177927017212
static-L11-k4,static,11,4,0.24057291448116302,0.953418493270874,0.0714090034365654,0.045060319205125175,0.002200258895754814,no_persistence_specific_candidate,0.023658255115151405,0.08349393308162689,0.03957630693912506,0.04034332558512688
static-L12-k1,static,12,1,0.06949012726545334,0.9120961427688599,0.05269700651988387,0.03045184537768364,0.000790233607403934,no_persistence_specific_candidate,0.023263003677129745,0.02947426587343216,0.024600282311439514,0.00924594420939684
static-L12-k2,static,12,2,0.06589335203170776,0.706987202167511,0.06259515099227428,0.04062819294631481,0.0012077308492735028,no_persistence_specific_candidate,0.01938759908080101,0.04342101141810417,0.02626260556280613,0.008959852159023285
static-L12-k4,static,12,4,0.12841208279132843,0.7513148188591003,0.0872995138168335,0.05569882566730181,0.002165314042940736,no_persistence_specific_candidate,0.02336614765226841,0.05217800661921501,0.04091373831033707,0.019910389557480812
static-L13-k1,static,13,1,0.11128474771976471,0.9917355179786682,0.10192366326227784,0.07390557726224263,0.0008836650522425771,no_persistence_specific_candidate,0.03443089872598648,0.07205485552549362,0.012312055565416813,0.01859472319483757
static-L13-k2,static,13,2,0.10488840937614441,0.9000751376152039,0.11337986439466477,0.07511173809568088,0.0014586288016289473,no_persistence_specific_candidate,0.03924817964434624,0.11031520366668701,0.015491827391088009,0.02205338329076767
static-L13-k4,static,13,4,0.28975415229797363,0.9782118797302246,0.1359629012644291,0.0964618648091952,0.0022218741942197084,no_persistence_specific_candidate,0.04822256416082382,0.14792190492153168,0.028267323970794678,0.03812309354543686
