stage,target,status,selected_alpha,r_squared,mse,pearson_r,tasks,states,episodes,sign_accuracy,heldout_manipulation,source_groups,r_squared_ci_low,r_squared_ci_high,bootstrap_samples,bootstrap_clusters,mse_ci_low,mse_ci_high,pearson_r_ci_low,pearson_r_ci_high,sign_accuracy_ci_low,sign_accuracy_ci_high
displacement,gru_prediction_change,fit,100.0,-14.389575536637286,0.22570087262130314,0.17149942962089562,1,38,19,1.0,search_cost,continue_incentive;outside_option;progress_evidence;stop_outside_option,-25.86772451490237,-12.05359313754788,2000,19,0.1827398578238183,0.26866188741878805,0.12284763475528436,0.2061691844191494,1.0,1.0
displacement,gru_prediction_change,fit,100.0,-12.121014823839648,87.70877830795314,0.46942270560828625,1,789,8,0.22450255995840776,stop_outside_option,continue_incentive;outside_option;progress_evidence;search_cost,-13.720061090305027,-10.827590358051214,2000,8,79.11410461706089,95.96950962999516,0.43965301163370624,0.5678387214616438,0.08476862421543585,0.374253472222222
l22,persistence_policy_change,fit,100.0,0.8479702918370574,0.27462634442537376,0.9349070864753067,1,1052,8,0.9975728155339804,continue_incentive,outside_option;progress_evidence;search_cost;stop_outside_option,0.8065128352668393,0.8930357152223184,2000,8,0.14847088843631384,0.4127832449224122,0.9207894597529613,0.9533007266466391,0.9927184466019416,1.0
l22,persistence_policy_change,fit,0.01,0.2559726153859322,0.3097143159876997,0.8043952165597313,1,77,30,0.8678160919540228,outside_option,continue_incentive;progress_evidence;search_cost;stop_outside_option,-0.04966128350545628,0.4004100737229013,2000,30,0.22973143515785402,0.3965817481694455,0.7230826457280577,0.8582819418872589,0.7586206896551724,0.9556609195402294
l22,persistence_policy_change,fit,10.0,-2.6862965929689677,3.935825593246502,0.7134492135582666,1,46,25,1.0,progress_evidence,continue_incentive;outside_option;search_cost;stop_outside_option,-4.462922596225162,-1.491369622480936,2000,25,3.040679696708582,4.847960066972634,0.615072312743377,0.8275719686934458,1.0,1.0
l22,persistence_policy_change,fit,100.0,-0.9738535555940286,0.16969211499301592,0.4755547689974852,1,38,19,1.0,search_cost,continue_incentive;outside_option;progress_evidence;stop_outside_option,-2.85242410818232,-0.321528096942751,2000,19,0.11223894166490275,0.227145288321129,0.4453038692263074,0.530004221791245,1.0,1.0
l22,persistence_policy_change,fit,0.01,0.4090856435778335,0.6383704575025451,0.8092516760859843,1,789,8,1.0,stop_outside_option,continue_incentive;outside_option;progress_evidence;search_cost,0.08176611085141126,0.5726903659708983,2000,8,0.4729141773280874,0.793248180287968,0.7388852709847817,0.8681744983035531,1.0,1.0
l22,gru_prediction_change,fit,100.0,-1.6913284455776179,12.758247944101232,-0.14429923059946945,1,1052,8,1.0,continue_incentive,outside_option;progress_evidence;search_cost;stop_outside_option,-2.945516313946242,-1.3631087223738554,2000,8,11.961652458718117,13.59549959894144,-0.18881743232982184,-0.043546705707489926,1.0,1.0
l22,gru_prediction_change,fit,100.0,-3.4281032552148103,0.8226573053664064,-0.7092346938683853,1,77,30,0.9488888888888888,outside_option,continue_incentive;progress_evidence;search_cost;stop_outside_option,-5.120877860627073,-2.5320957142358895,2000,30,0.6303677649619266,1.0312121493611441,-0.860574246720125,-0.522891390184389,0.8933333333333333,0.9933333333333332
l22,gru_prediction_change,fit,10.0,-40.07101344703534,17.862830778914088,0.6098693095720853,1,46,25,1.0,progress_evidence,continue_incentive;outside_option;search_cost;stop_outside_option,-91.94945600707582,-23.15764079361892,2000,25,11.450489661084431,24.87314996910256,0.3995024186301102,0.7920192706774133,1.0,1.0
l22,gru_prediction_change,fit,100.0,-5.142586502677215,0.09008611904243721,-0.5011872903657287,1,38,19,1.0,search_cost,continue_incentive;outside_option;progress_evidence;stop_outside_option,-11.213895158286048,-3.145970416357472,2000,19,0.05804026802763081,0.12213197005724362,-0.5726758547325108,-0.3813675542109036,1.0,1.0
l22,gru_prediction_change,fit,100.0,-11.337863047345463,82.47371939915547,0.47233561742878943,1,789,8,0.24806507769665276,stop_outside_option,continue_incentive;outside_option;progress_evidence;search_cost,-12.72565375713234,-10.24688149941912,2000,8,75.91478890473165,89.38075137021382,0.44341912549351814,0.555978680089068,0.1100080031665122,0.3822753514056223
