stage,target,heldout_task,source_tasks,selected_alpha,heldout_target_variance,constant_heldout_target,r_squared,mse,pearson_r,tasks,states,episodes,between_task_variance_fraction,median_leave_one_task_out_r_squared,flagged
l21,termination_advantage,foraging,bandit;solvability,0.01,1.3378875171467763,False,-0.6373241002785637,2.0375462466730436,-0.36643075078799264,1,36,12,0.29010338687097337,-0.6373241002785637,False
l21,history_finite_prediction,solvability,bandit;foraging,0.01,12.969573375185277,False,-0.33109886031594127,9.287574907024537,0.32118448842100056,1,24,12,0.43729803524141136,-2.2588398675541193,False
l21,history_summary,solvability,bandit;foraging,100.0,0.3280073216946904,False,-0.07592561371124473,0.18468768648895972,0.06493523970279304,1,24,12,0.049981362040893824,-0.3999175702450546,False
l21,time_effort,solvability,bandit;foraging,0.01,0.1980488119501623,False,-33.07874106721985,4.001076938860639,-0.6060092436856644,1,24,12,0.5696990947988195,-2.64583232459824,False
l21,cost_pressure,solvability,bandit;foraging,1.0,0.109375,False,-6.802471038824227,1.0836765331700313,0.20844886589839182,1,24,12,0.4913699757784434,0.0,False
l21,progress_solvability,solvability,bandit;foraging,100.0,0.1568763306730777,False,-2.067531292513436,0.23639117594205472,-0.42876129902965704,1,24,12,0.06466594646011642,-1.0525128851760832,False
l21,estimated_continue_value,solvability,bandit;foraging,100.0,0.0982344714506173,False,-9.510198223393479,1.317262768862365,-0.4375350500007312,1,24,12,0.21813404272928824,-9.510198223393479,False
l21,estimated_outside_value,solvability,bandit;foraging,0.01,0.9375,False,-1.1001708928653566,2.1001708928653566,0.13551081913126345,1,24,12,0.35961259924577615,-1.1001708928653566,False
l21,termination_advantage,solvability,bandit;foraging,10.0,1.3964983603395063,False,-1.5512948306250438,3.704476353743352,-0.03920463354842975,1,24,12,0.29010338687097337,-0.6373241002785637,False
displacement,history_finite_prediction,bandit,foraging;solvability,100.0,1.7821341789718401,False,-2.1215072641163175,6.995261246780755,0.5787522619430454,1,162,6,0.43729803524141136,-1.4341712971873717,False
displacement,history_summary,bandit,foraging;solvability,10.0,0.6347042596253587,False,-0.4713461372382557,0.8926665375804506,0.3031666402735325,1,162,6,0.049981362040893824,0.0542992897746295,False
displacement,time_effort,bandit,foraging;solvability,1.0,0.5444256912983683,False,-2.3700411474508165,2.9481380413559823,0.44663670778907694,1,162,6,0.5696990947988195,-2.3700411474508165,False
displacement,cost_pressure,bandit,foraging;solvability,10.0,0.0,True,0.0,0.3799224211726974,0.0,1,162,6,0.4913699757784434,-0.17894660206640678,False
displacement,progress_solvability,bandit,foraging;solvability,10.0,0.7822429200947418,False,-0.026429409211304877,0.8510435683339252,0.20047444530468353,1,162,6,0.06466594646011642,-0.07694253081765501,False
displacement,estimated_continue_value,bandit,foraging;solvability,1.0,0.16331624828706667,False,-0.5366367709087261,0.504875797803762,-0.05983369653099363,1,162,6,0.21813404272928824,-4.738281003206697,False
displacement,estimated_outside_value,bandit,foraging;solvability,1.0,0.0,True,0.0,1.0495128351170424,0.0,1,162,6,0.35961259924577615,-0.5996601266604697,False
displacement,termination_advantage,bandit,foraging;solvability,10.0,0.16331624828706667,False,-4.071872534142972,1.6664092259878118,0.10317080120325874,1,162,6,0.29010338687097337,-2.0930761840433485,False
displacement,history_finite_prediction,foraging,bandit;solvability,100.0,1.0600904454131121,False,-1.4341712971873717,2.41337541015104,0.7303202191563188,1,36,12,0.43729803524141136,-1.4341712971873717,False
displacement,history_summary,foraging,bandit;solvability,1.0,0.42247158851055516,False,0.1813862643723375,0.3689135409585742,0.5476531290831276,1,36,12,0.049981362040893824,0.0542992897746295,False
displacement,time_effort,foraging,bandit;solvability,1.0,0.3633420211370899,False,0.06857163647830922,0.3560305085341162,0.527415241140985,1,36,12,0.5696990947988195,-2.3700411474508165,False
displacement,cost_pressure,foraging,bandit;solvability,100.0,0.23765432098765432,False,-0.17894660206640678,0.2947366505166017,-0.0016636706818632101,1,36,12,0.4913699757784434,-0.17894660206640678,False
displacement,progress_solvability,foraging,bandit;solvability,100.0,0.32418205566481667,False,-0.07694253081765501,0.34609585787580927,0.47220384952652034,1,36,12,0.06466594646011642,-0.07694253081765501,False
displacement,estimated_continue_value,foraging,bandit;solvability,0.01,0.450644718792867,False,-4.738281003206697,2.412159033747667,-0.21668619718841262,1,36,12,0.21813404272928824,-4.738281003206697,False
displacement,estimated_outside_value,foraging,bandit;solvability,0.01,0.9876543209876544,False,-0.5996601266604697,1.5996601266604697,0.019964519790462033,1,36,12,0.35961259924577615,-0.5996601266604697,False
displacement,termination_advantage,foraging,bandit;solvability,0.01,1.3378875171467763,False,-0.5279523207952008,1.9014399872340215,-0.42341750334770595,1,36,12,0.29010338687097337,-2.0930761840433485,False
displacement,history_finite_prediction,solvability,bandit;foraging,0.01,12.969573375185277,False,0.3412183990238641,4.596565776476711,0.5977913049726106,1,24,12,0.43729803524141136,-1.4341712971873717,False
displacement,history_summary,solvability,bandit;foraging,100.0,0.3280073216946904,False,0.0542992897746295,0.16233396998518204,0.42613069926983754,1,24,12,0.049981362040893824,0.0542992897746295,False
displacement,time_effort,solvability,bandit;foraging,10.0,0.1980488119501623,False,-9.964238248428265,1.2872764496032751,-0.5092339718427397,1,24,12,0.5696990947988195,-2.3700411474508165,False
displacement,cost_pressure,solvability,bandit;foraging,0.01,0.109375,False,-5.9112786822399235,0.9598998169777669,0.2197083385773851,1,24,12,0.4913699757784434,-0.17894660206640678,False
displacement,progress_solvability,solvability,bandit;foraging,100.0,0.1568763306730777,False,-0.309040049050904,0.10087770491718066,0.7232432370681463,1,24,12,0.06466594646011642,-0.07694253081765501,False
displacement,estimated_continue_value,solvability,bandit;foraging,10.0,0.0982344714506173,False,-18.4980430689172,2.443726146210284,0.14305835743160492,1,24,12,0.21813404272928824,-4.738281003206697,False
displacement,estimated_outside_value,solvability,bandit;foraging,1.0,0.9375,False,-0.8774526735178325,1.8774526735178325,-0.03457928190889291,1,24,12,0.35961259924577615,-0.5996601266604697,False
displacement,termination_advantage,solvability,bandit;foraging,100.0,1.3964983603395063,False,-2.0930761840433485,4.491142084628512,0.2264032767281128,1,24,12,0.29010338687097337,-2.0930761840433485,False
l22,history_finite_prediction,bandit,foraging;solvability,100.0,1.7821341789718401,False,-1.637226809677447,5.909994416088744,0.5063983991576606,1,162,6,0.43729803524141136,-1.637226809677447,False
l22,history_summary,bandit,foraging;solvability,10.0,0.6347042596253587,False,-0.26208545833975605,0.7657079647767151,0.23718656084001202,1,162,6,0.049981362040893824,0.07092054818197246,False
l22,time_effort,bandit,foraging;solvability,1.0,0.5444256912983683,False,-2.199111861086827,2.7986077806074787,0.30005385014924957,1,162,6,0.5696990947988195,-2.199111861086827,False
l22,cost_pressure,bandit,foraging;solvability,10.0,0.0,True,0.0,0.37819430782011143,0.0,1,162,6,0.4913699757784434,-0.22677498623008052,False
l22,progress_solvability,bandit,foraging;solvability,100.0,0.7822429200947418,False,0.0034495797545798235,0.8262699977799841,0.1106461806161519,1,162,6,0.06466594646011642,-0.1340840141909807,False
l22,estimated_continue_value,bandit,foraging;solvability,0.01,0.16331624828706667,False,-0.4109472813301811,0.46357938831527346,-0.06369071369198057,1,162,6,0.21813404272928824,-5.632613778100515,False
l22,estimated_outside_value,bandit,foraging;solvability,100.0,0.0,True,0.0,0.7031630060427291,0.0,1,162,6,0.35961259924577615,-0.01314489845071587,False
l22,termination_advantage,bandit,foraging;solvability,1.0,0.16331624828706667,False,-3.4854143252419254,1.4737231197439908,0.07816908279660238,1,162,6,0.29010338687097337,-1.6428037222055076,False
l22,history_finite_prediction,foraging,bandit;solvability,10.0,1.0600904454131121,False,-1.840409096891611,2.81614259322189,0.7347230567854202,1,36,12,0.43729803524141136,-1.637226809677447,False
l22,history_summary,foraging,bandit;solvability,0.01,0.42247158851055516,False,0.07092054818197246,0.41869562589154463,0.48073718124544995,1,36,12,0.049981362040893824,0.07092054818197246,False
l22,time_effort,foraging,bandit;solvability,1.0,0.3633420211370899,False,0.5159955923514543,0.18500653634416886,0.749949468138608,1,36,12,0.5696990947988195,-2.199111861086827,False
l22,cost_pressure,foraging,bandit;solvability,100.0,0.23765432098765432,False,-0.22677498623008052,0.30669374655752013,-0.24503875066492078,1,36,12,0.4913699757784434,-0.22677498623008052,False
l22,progress_solvability,foraging,bandit;solvability,10.0,0.32418205566481667,False,-0.1340840141909807,0.364459354666462,0.1508927703784643,1,36,12,0.06466594646011642,-0.1340840141909807,False
l22,estimated_continue_value,foraging,bandit;solvability,0.01,0.450644718792867,False,-5.632613778100515,2.7881031328482866,-0.375911771175291,1,36,12,0.21813404272928824,-5.632613778100515,False
l22,estimated_outside_value,foraging,bandit;solvability,0.01,0.9876543209876544,False,-0.7551310179731427,1.7551310179731427,-0.10483406204823667,1,36,12,0.35961259924577615,-0.01314489845071587,False
l22,termination_advantage,foraging,bandit;solvability,0.01,1.3378875171467763,False,-0.5351543558897731,1.9104024642248976,-0.44909864742322014,1,36,12,0.29010338687097337,-1.6428037222055076,False
l22,history_finite_prediction,solvability,bandit;foraging,0.01,12.969573375185277,False,0.41476398346305754,4.083410709693933,0.6962270247651843,1,24,12,0.43729803524141136,-1.637226809677447,False
l22,history_summary,solvability,bandit;foraging,0.01,0.3280073216946904,False,0.3033955863832246,0.1195754203723313,0.6029343086521889,1,24,12,0.049981362040893824,0.07092054818197246,False
l22,time_effort,solvability,bandit;foraging,1.0,0.1980488119501623,False,-14.851195694094562,1.8610386287424785,-0.3837865273601684,1,24,12,0.5696990947988195,-2.199111861086827,False
l22,cost_pressure,solvability,bandit;foraging,0.01,0.109375,False,-1.8611724114378414,0.39738505714414457,0.18251263576188445,1,24,12,0.4913699757784434,-0.22677498623008052,False
l22,progress_solvability,solvability,bandit;foraging,10.0,0.1568763306730777,False,-1.0309001381498684,0.15650594112921376,0.6047274516927237,1,24,12,0.06466594646011642,-0.1340840141909807,False
l22,estimated_continue_value,solvability,bandit;foraging,10.0,0.0982344714506173,False,-16.124472383027697,2.146242100017305,0.3102646580688691,1,24,12,0.21813404272928824,-5.632613778100515,False
l22,estimated_outside_value,solvability,bandit;foraging,10.0,0.9375,False,-0.01314489845071587,1.0131448984507159,0.21701650707436812,1,24,12,0.35961259924577615,-0.01314489845071587,False
l22,termination_advantage,solvability,bandit;foraging,100.0,1.3964983603395063,False,-1.6428037222055076,3.837347130161632,0.3443171810663239,1,24,12,0.29010338687097337,-1.6428037222055076,False
