stage,target,feature_family,priority,target_role,task,selected_alpha,r_squared,mse,pearson_r,tasks,states,episodes
l22,history_summary,history,1,primary,macro,10.0,0.17749039956466442,0.3828380436056759,0.5496239979666099,3.0,222,30
l22,history_summary,history,1,primary,bandit,10.0,-0.07512632641595074,0.652279753195768,0.2685831065686034,,162,6
l22,history_summary,history,1,primary,foraging,10.0,0.07806323495823897,0.4154767281918009,0.6437412733368233,,36,12
l22,history_summary,history,1,primary,solvability,10.0,0.5295342901517051,0.08075764942945858,0.7365476139944032,,24,12
l22,history_recent_outcomes,history,1,primary,macro,0.01,0.01551145535340559,4.310996780874199,0.3923805946887757,3.0,222,30
l22,history_recent_outcomes,history,1,primary,bandit,0.01,0.2237407071172769,5.850088265424041,0.5936620662660762,,162,6
l22,history_recent_outcomes,history,1,primary,foraging,0.01,-0.468281253614135,6.7439965006737586,-0.05997117267614216,,36,12
l22,history_recent_outcomes,history,1,primary,solvability,0.01,0.29107491255707485,0.33890557652479836,0.6434508904763929,,24,12
l22,history_recent_choices,history,1,primary,macro,0.01,0.2370358027730315,0.32270024014680543,0.626090800974855,3.0,222,30
l22,history_recent_choices,history,1,primary,bandit,0.01,-0.3208699472497498,0.5884160157411485,0.42216848764448334,,162,6
l22,history_recent_choices,history,1,primary,foraging,0.01,0.642973262858499,0.16906083776969516,0.8228482221751694,,36,12
l22,history_recent_choices,history,1,primary,solvability,0.01,0.3890040927103453,0.2106238669295726,0.6332556931049126,,24,12
l22,time_effort,time_effort,2,primary,macro,0.01,-0.0666527214304213,0.5827033355869342,0.42953867813066476,3.0,222,30
l22,time_effort,time_effort,2,primary,bandit,0.01,-0.6360159565016061,1.431199402795473,0.03471674769917498,,162,6
l22,time_effort,time_effort,2,primary,foraging,0.01,0.4966929991045096,0.19238478716718763,0.7821743223598445,,36,12
l22,time_effort,time_effort,2,primary,solvability,0.01,-0.06063520689416735,0.12452581679814197,0.4717249643329747,,24,12
l22,cost_pressure,cost,3,primary,macro,10.0,-0.274982055418566,0.1844285551023159,0.029430552030352792,3.0,222,30
l22,cost_pressure,cost,3,primary,bandit,10.0,0.0,0.04492489847265302,0.0,,162,6
l22,cost_pressure,cost,3,primary,foraging,10.0,-0.04406419368903003,0.2610160484222575,-0.02031334932613038,,36,12
l22,cost_pressure,cost,3,primary,solvability,10.0,-0.780881972566668,0.24734471841203717,0.10860500541718876,,24,12
l22,progress_solvability,progress_solvability,4,primary,macro,100.0,-0.053845528642492146,0.45044884166804805,0.3867268967786213,3.0,222,30
l22,progress_solvability,progress_solvability,4,primary,bandit,100.0,-0.03131063414147728,0.8550907390844267,0.4432845026015887,,162,6
l22,progress_solvability,progress_solvability,4,primary,foraging,100.0,-0.3593394838774622,0.4368494616512526,0.12401611364365359,,36,12
l22,progress_solvability,progress_solvability,4,primary,solvability,100.0,0.229113532091463,0.059406324268464795,0.5928800740906217,,24,12
l22,estimated_continue_value,continuation_value,5,control,macro,0.01,-2.5087052621253503,0.9001606367855689,0.021794542154815005,3.0,222,30
l22,estimated_continue_value,continuation_value,5,control,bandit,0.01,-0.43888621005257167,0.472758974015385,-0.01893981123954661,,162,6
l22,estimated_continue_value,continuation_value,5,control,foraging,0.01,-2.6904741231838707,1.5513374981244914,-0.3075242373480301,,36,12
l22,estimated_continue_value,continuation_value,5,control,solvability,0.01,-4.396755453139609,0.6763854382168303,0.3918476750520217,,24,12
l22,estimated_outside_value,outside_option,5,control,macro,0.01,-0.13147605082738667,0.8316752442180294,0.04243799681907421,3.0,222,30
l22,estimated_outside_value,outside_option,5,control,bandit,0.01,0.0,0.1005975801719282,0.0,,162,6
l22,estimated_outside_value,outside_option,5,control,foraging,0.01,-0.2761349770896564,1.2761349770896564,-0.12125764909932243,,36,12
l22,estimated_outside_value,outside_option,5,control,solvability,0.01,-0.11829317539250361,1.1182931753925036,0.24857163955654507,,24,12
l22,termination_advantage,derived_termination,5,control,macro,0.01,-0.7171001996434591,1.6219460449573655,-0.0029812073457104646,3.0,222,30
l22,termination_advantage,derived_termination,5,control,bandit,0.01,-1.0722560365770613,0.6808583131209283,-0.029947501383423388,,162,6
l22,termination_advantage,derived_termination,5,control,foraging,0.01,-0.37688322757422377,1.7134440591045002,-0.30502627339104077,,36,12
l22,termination_advantage,derived_termination,5,control,solvability,0.01,-0.7021613347790925,2.4715357626466683,0.32603015273733277,,24,12
