stage,target,random_subspace,random_r_squared,random_mse,random_pearson_r,persistence_rank4_r_squared,random_meets_or_exceeds_persistence
displacement,estimated_outside_value,7,-0.07694623322318472,0.7570737014698778,0.19845676589261743,-0.12885299936573977,True
displacement,termination_advantage,7,-0.30390493566672244,1.411229438161835,0.401434760678292,-0.9294968090253737,True
displacement,history_finite_prediction,8,-0.07353704441028859,2.392186474364822,0.3793958235574803,0.02807760887195987,False
displacement,history_summary,8,0.0993454152882703,0.4336414941854967,0.5252693103432874,0.06932973199133279,True
displacement,history_recent_outcomes,8,-0.32362342788487347,5.083409042740356,0.4426550994663377,0.011685512345501673,False
displacement,history_recent_choices,8,0.03592875272674149,0.4141203825681184,0.2718007082326603,0.12418487468898949,False
displacement,time_effort,8,-0.5522606416504466,0.5334683288891232,0.11729499001403927,-0.34448168796972006,False
displacement,cost_pressure,8,-0.3818454624949894,0.1932713461204076,0.0336179310472382,-0.3167091089798349,False
displacement,progress_solvability,8,-0.18310153007911892,0.4988303735993595,0.3834640605906177,0.041009013341014554,False
displacement,estimated_continue_value,8,-2.66242805044302,0.9609179612242084,0.0983017914062605,-2.5115564173010427,False
displacement,estimated_outside_value,8,-0.029069528595364196,0.7105156670977409,0.21234350959852188,-0.12885299936573977,True
displacement,termination_advantage,8,-0.7707862595860693,1.5910909440108962,0.22642805365725152,-0.9294968090253737,True
displacement,history_finite_prediction,9,-0.11958056503759,1.996673134772588,0.5180619870651819,0.02807760887195987,False
displacement,history_summary,9,0.20168577873227367,0.3640813437307249,0.6951817016952845,0.06932973199133279,True
displacement,history_recent_outcomes,9,-0.3046548843168899,4.750302031862884,0.23714524703443338,0.011685512345501673,False
displacement,history_recent_choices,9,0.31298233840389433,0.2921654755365443,0.6948619569554859,0.12418487468898949,True
displacement,time_effort,9,0.1454750689965808,0.5255654952426166,0.6157189450987693,-0.34448168796972006,True
displacement,cost_pressure,9,-0.40897867269355664,0.2188207277567565,-0.18424587538451345,-0.3167091089798349,False
displacement,progress_solvability,9,-0.16554639032335552,0.43053454799839397,0.4626794912474311,0.041009013341014554,False
displacement,estimated_continue_value,9,-1.708491641613201,0.7495435105411746,0.301996221943116,-2.5115564173010427,True
displacement,estimated_outside_value,9,-0.08835874429436104,0.7727028469915561,0.1575451667605254,-0.12885299936573977,True
displacement,termination_advantage,9,-0.4155931455900619,1.321084823589955,0.2782802169873019,-0.9294968090253737,True
l22,history_finite_prediction,0,-0.2118858288011445,3.386347157601928,0.45721661194246427,0.03146523405471894,False
l22,history_summary,0,0.1311668827499239,0.3969155829425793,0.5414582983421696,0.17749039956466442,False
l22,history_recent_outcomes,0,-0.6179269262686667,6.107202952424852,-0.3943216079199719,0.01551145535340559,False
l22,history_recent_choices,0,0.897336314721838,0.042177117488191807,0.966385455966375,0.2370358027730315,True
l22,time_effort,0,0.5428513774278211,0.14853752066539685,0.9139048679473722,-0.0666527214304213,True
l22,cost_pressure,0,-0.461827628363078,0.24588498293240404,0.07496212352469632,-0.274982055418566,False
l22,progress_solvability,0,-0.5141719706888664,0.6103744338995531,-0.3131583518039815,-0.053845528642492146,False
l22,estimated_continue_value,0,-3.994235461621631,1.2483679776875232,-0.08355778802960719,-2.5087052621253503,False
l22,estimated_outside_value,0,-0.023223506265239058,0.7642788702422877,0.312794635025554,-0.13147605082738667,True
l22,termination_advantage,0,-1.2302398201993379,2.000628955322058,0.1780170029223446,-0.7171001996434591,False
l22,history_finite_prediction,1,-0.11632246495665806,2.1326677302999335,0.6687051180581248,0.03146523405471894,False
l22,history_summary,1,0.22483180479859563,0.32808131039906074,0.68420074745126,0.17749039956466442,True
l22,history_recent_outcomes,1,-0.14224366856293372,5.367679232054804,0.2781780768311471,0.01551145535340559,False
l22,history_recent_choices,1,0.7994705525500313,0.08114190526641946,0.9090855277727842,0.2370358027730315,True
l22,time_effort,1,0.37264231077669363,0.1750924410009489,0.8730243495034337,-0.0666527214304213,True
l22,cost_pressure,1,-0.36434112719834766,0.21814455702601565,-0.07155623070318996,-0.274982055418566,False
l22,progress_solvability,1,-0.21628009554235247,0.47332422809410873,0.2547337541247608,-0.053845528642492146,False
l22,estimated_continue_value,1,-2.3899632543957967,0.9737623814759212,0.017988545539485756,-2.5087052621253503,True
l22,estimated_outside_value,1,-0.14386908350917116,0.845653874855517,0.14250058342722338,-0.13147605082738667,False
l22,termination_advantage,1,-0.4903778930566005,1.4187961419609636,0.279316152255045,-0.7171001996434591,True
l22,history_finite_prediction,2,-0.7732874363320131,2.8378966064178957,0.2911507152839647,0.03146523405471894,False
l22,history_summary,2,0.362867660148464,0.28686317085692653,0.7127222294149185,0.17749039956466442,True
l22,history_recent_outcomes,2,-0.26390592406870084,5.537690145540226,0.3933537411248704,0.01551145535340559,False
l22,history_recent_choices,2,0.547967527012409,0.18015767845288455,0.7825441966389971,0.2370358027730315,True
l22,time_effort,2,0.2509000785231268,0.20194086337693407,0.7919544799633113,-0.0666527214304213,True
l22,cost_pressure,2,-0.5347945317136682,0.2406994987382396,-0.1419415627085904,-0.274982055418566,False
l22,progress_solvability,2,-0.3292700387323793,0.5296801117100037,0.09958026958189914,-0.053845528642492146,False
l22,estimated_continue_value,2,-2.625610786775389,0.9838719320549583,0.028059057852369645,-2.5087052621253503,False
l22,estimated_outside_value,2,-0.060279968106694705,0.8052468281377836,0.28510880363783747,-0.13147605082738667,True
l22,termination_advantage,2,-0.33699594605522726,1.4398099608905437,0.3662848342380274,-0.7171001996434591,True
l22,history_finite_prediction,3,0.15526582406996084,2.9751624429415586,0.4847419543807094,0.03146523405471894,True
l22,history_summary,3,0.12698468318161305,0.4003902367748519,0.6456844359679884,0.17749039956466442,False
l22,history_recent_outcomes,3,-0.30850370668023147,5.715208458955576,0.3355143968737207,0.01551145535340559,False
l22,history_recent_choices,3,0.48621253088433036,0.21156001229090848,0.8548860158393304,0.2370358027730315,True
l22,time_effort,3,-0.16900842600780527,0.48832265455888396,0.7124963147197265,-0.0666527214304213,False
l22,cost_pressure,3,-0.40458909987339425,0.19952286310827827,0.02013666709624058,-0.274982055418566,False
l22,progress_solvability,3,-0.2559271157520238,0.5276926530063071,0.27770766696295496,-0.053845528642492146,False
l22,estimated_continue_value,3,-2.608940898358759,1.0529515430970546,-0.041307037675796646,-2.5087052621253503,False
l22,estimated_outside_value,3,-0.062065702691899816,0.7407013267381212,0.24936632683294965,-0.13147605082738667,True
l22,termination_advantage,3,-0.5249330951643976,1.4678869975187432,0.2873535646672853,-0.7171001996434591,True
l22,history_finite_prediction,4,0.05406144185117071,3.1167516268179263,0.6574892851463544,0.03146523405471894,True
l22,history_summary,4,-0.038924365669992946,0.4316824252483665,0.6329190122280359,0.17749039956466442,False
l22,history_recent_outcomes,4,-0.4409776499115507,5.990839472844261,0.04812565224487559,0.01551145535340559,False
l22,history_recent_choices,4,0.36790106427322455,0.2548381203263008,0.7924829355531839,0.2370358027730315,True
l22,time_effort,4,0.274251475057571,0.21428726064261738,0.7802352607840336,-0.0666527214304213,True
l22,cost_pressure,4,-0.2904010310679742,0.19518054211452132,0.08729395048890286,-0.274982055418566,False
l22,progress_solvability,4,-0.4564823183190252,0.598919750462498,-0.3026658702280856,-0.053845528642492146,False
l22,estimated_continue_value,4,-3.457212129255485,1.21451138588697,-0.26427299270497046,-2.5087052621253503,False
l22,estimated_outside_value,4,-0.1121409591784442,0.8247146945351324,0.25661227612945575,-0.13147605082738667,True
l22,termination_advantage,4,-0.9886149239023424,1.8395305607253551,0.12043115303139972,-0.7171001996434591,False
l22,history_finite_prediction,5,-0.5236203215122891,3.401503554582778,0.4482804094938045,0.03146523405471894,False
l22,history_summary,5,0.2381923476178609,0.3466671475001719,0.6610968667813788,0.17749039956466442,True
l22,history_recent_outcomes,5,-0.11488627392967898,3.700880810686121,0.627928282678115,0.01551145535340559,False
l22,history_recent_choices,5,-0.022026922727163445,0.4047343354423856,0.5767489476007946,0.2370358027730315,False
l22,time_effort,5,-0.8012878469563525,0.5138625027782434,0.5995099351087473,-0.0666527214304213,False
l22,cost_pressure,5,-0.4972722002171797,0.22258789483290817,0.040056076204389564,-0.274982055418566,False
l22,progress_solvability,5,-0.15167328247079262,0.49681884467448806,0.37354910469095287,-0.053845528642492146,False
l22,estimated_continue_value,5,-3.2532444172350825,1.077872197457394,-0.10735267437910523,-2.5087052621253503,False
l22,estimated_outside_value,5,-0.16350842122653067,0.8667645748624594,0.17027913830590924,-0.13147605082738667,False
l22,termination_advantage,5,-1.8397875074862216,2.2091191054560864,-0.05937021800961214,-0.7171001996434591,False
l22,history_finite_prediction,6,-0.21279938859623626,2.875501448463295,0.6760430446398155,0.03146523405471894,False
l22,history_summary,6,0.06751113254569492,0.4403365438215517,0.43724687421373004,0.17749039956466442,False
l22,history_recent_outcomes,6,-0.11928508319629165,5.356014694369261,0.18372863665307584,0.01551145535340559,False
l22,history_recent_choices,6,-0.014924491681907237,0.4145234473032615,0.5626996699484189,0.2370358027730315,False
l22,time_effort,6,-0.8246848362164823,0.6554660322243359,0.4274448367812556,-0.0666527214304213,False
l22,cost_pressure,6,-0.3942151699430683,0.21745624830671476,0.09562912019265003,-0.274982055418566,False
l22,progress_solvability,6,-0.19044737376735077,0.5181489124083399,0.06632536688301834,-0.053845528642492146,False
