task,manipulation,split,layer,mean_functional_effect,mean_absolute_effect,effect_sd,positive_fraction,pairs,readout_task
foraging,outside_option,train,6,0.6287682266325489,0.6778594617807052,0.57351156685046,0.8874296435272045,533,foraging
foraging,outside_option,validation,6,0.8496888844168928,0.8564728523926005,0.5639435749064998,0.9782608695652174,46,foraging
foraging,search_cost,test,6,0.6718237009080721,0.6718237009080721,0.2904478001701743,1.0,38,foraging
foraging,search_cost,train,6,0.7130297686398784,0.7130297686398784,0.29183737655103204,1.0,234,foraging
foraging,search_cost,validation,6,0.7906352817448521,0.7906352817448521,0.2905896905970676,1.0,22,foraging
foraging,outside_option,test,7,0.6613088803436643,0.7298722852870575,0.6284850096206542,0.8701298701298701,77,foraging
foraging,outside_option,train,7,0.6258092560479828,0.6733845586446376,0.5774851709009403,0.8893058161350844,533,foraging
foraging,outside_option,validation,7,0.848622247711957,0.8493001568485825,0.5655517389365554,0.9782608695652174,46,foraging
foraging,search_cost,test,7,0.6731245262372882,0.6731245262372882,0.2919214792280499,1.0,38,foraging
foraging,search_cost,train,7,0.7139870838063008,0.7139870838063008,0.293621808506225,1.0,234,foraging
foraging,search_cost,validation,7,0.7909456465006244,0.7909456465006244,0.2934215869374707,1.0,22,foraging
foraging,outside_option,test,8,0.6719292021178155,0.7272329792733121,0.6112660777331501,0.8831168831168831,77,foraging
foraging,outside_option,train,8,0.630849543308841,0.6791477906226602,0.5715428278927461,0.900562851782364,533,foraging
foraging,outside_option,validation,8,0.8548005029152498,0.8548005029152498,0.5527273960170077,1.0,46,foraging
foraging,search_cost,test,8,0.6738215086313529,0.6738215086313529,0.2870610062991329,1.0,38,foraging
foraging,search_cost,train,8,0.7145051163122164,0.7145051163122164,0.2881356326254913,1.0,234,foraging
foraging,search_cost,validation,8,0.791126653450491,0.791126653450491,0.2863318234699201,1.0,22,foraging
foraging,outside_option,test,9,0.6723040288373853,0.7085766691837713,0.6001778702085997,0.8961038961038961,77,foraging
foraging,outside_option,train,9,0.6325834399825958,0.6634613658978605,0.5580570839775869,0.9024390243902439,533,foraging
foraging,outside_option,validation,9,0.8504140294137692,0.8504140294137692,0.5552719160379762,1.0,46,foraging
foraging,search_cost,test,9,0.6709181397585392,0.6709181397585392,0.2962140461133634,1.0,38,foraging
foraging,search_cost,train,9,0.7129771804145766,0.7129771804145766,0.29711238585720195,1.0,234,foraging
foraging,search_cost,validation,9,0.7921891414310671,0.7921891414310671,0.2947604449875617,1.0,22,foraging
foraging,outside_option,test,10,0.6744539921753441,0.7176593245973182,0.6001388609064964,0.8311688311688312,77,foraging
foraging,outside_option,train,10,0.6238270674980959,0.664627556390001,0.5679372719379953,0.8536585365853658,533,foraging
foraging,outside_option,validation,10,0.8407255976233323,0.8490089288187103,0.5685923763290814,0.9130434782608695,46,foraging
foraging,search_cost,test,10,0.6754823907246081,0.6754823907246081,0.2871784581799075,1.0,38,foraging
foraging,search_cost,train,10,0.715945971161467,0.715945971161467,0.2885881217629576,1.0,234,foraging
foraging,search_cost,validation,10,0.7921531196403048,0.7921531196403048,0.28765051982654005,1.0,22,foraging
foraging,outside_option,test,11,0.6586921686374582,0.7159349880957068,0.6259579621393078,0.7922077922077922,77,foraging
foraging,outside_option,train,11,0.6283581833444288,0.6742446809228034,0.5745487213382505,0.849906191369606,533,foraging
foraging,outside_option,validation,11,0.8600641565342562,0.8622023462911075,0.5587304074116697,0.9347826086956522,46,foraging
foraging,search_cost,test,11,0.67449673171963,0.67449673171963,0.29802687878434025,1.0,38,foraging
foraging,search_cost,train,11,0.717013761850609,0.717013761850609,0.2992208150139791,1.0,234,foraging
foraging,search_cost,validation,11,0.7970882780720966,0.7970882780720966,0.2972802362317995,1.0,22,foraging
foraging,outside_option,test,12,0.66279607547292,0.736187096393928,0.6310358906566269,0.8831168831168831,77,foraging
foraging,outside_option,train,12,0.628905748648109,0.6824160907602969,0.5774093085935408,0.900562851782364,533,foraging
foraging,outside_option,validation,12,0.8530745621410416,0.8593621367039693,0.5654070974521807,0.9782608695652174,46,foraging
foraging,search_cost,test,12,0.6748247892408956,0.6748247892408956,0.2938621272620346,1.0,38,foraging
foraging,search_cost,train,12,0.7165445586062481,0.7165445586062481,0.29528998477579993,1.0,234,foraging
foraging,search_cost,validation,12,0.7951175524986066,0.7951175524986066,0.29404832545025555,1.0,22,foraging
foraging,outside_option,test,13,0.6743153414090135,0.729620922633239,0.6177274617732381,0.8181818181818182,77,foraging
foraging,outside_option,train,13,0.6283919673546732,0.680836130336403,0.5785479198978655,0.8442776735459663,533,foraging
foraging,outside_option,validation,13,0.8498293276087922,0.8572403516010695,0.5708906798420418,0.9130434782608695,46,foraging
foraging,search_cost,test,13,0.6728103250415421,0.6728103250415421,0.29889057502964683,1.0,38,foraging
foraging,search_cost,train,13,0.7151332937799337,0.7151332937799337,0.30040872378232875,1.0,234,foraging
foraging,search_cost,validation,13,0.7948423241694893,0.7948423241694893,0.2993679929027033,1.0,22,foraging
foraging,outside_option,test,14,0.6813747893919242,0.7282721199343712,0.5993657130208473,0.922077922077922,77,foraging
foraging,outside_option,train,14,0.6287142100153573,0.6675046749190434,0.5634715440183284,0.9212007504690432,533,foraging
foraging,outside_option,validation,14,0.8465632500456103,0.8465632500456103,0.5541563931248664,1.0,46,foraging
foraging,search_cost,test,14,0.6721525530432185,0.6721525530432185,0.28554361752834156,1.0,38,foraging
foraging,search_cost,train,14,0.7127272102498019,0.7127272102498019,0.2868686827547497,1.0,234,foraging
foraging,search_cost,validation,14,0.7891435553393088,0.7891435553393088,0.28550712145419943,1.0,22,foraging
foraging,outside_option,test,15,0.6668724893623034,0.7316669836570403,0.621712091431545,0.8961038961038961,77,foraging
foraging,outside_option,train,15,0.6286132275167862,0.6774834391996102,0.5739305323254458,0.8930581613508443,533,foraging
foraging,outside_option,validation,15,0.8499069964277494,0.8536083320716081,0.5603024463719951,0.9782608695652174,46,foraging
foraging,search_cost,test,15,0.6749986317231245,0.6749986317231245,0.2849724069588257,1.0,38,foraging
