model,sharing,information_set,selected_hyperparameters,task,states,log_loss,brier,auc,calibration_error,calibration_intercept,calibration_slope,deviance_explained,policy_logit_correlation,bootstrap_unit,log_loss_ci_low,log_loss_ci_high
intercept,hierarchical,observable,"{""penalty"": 0.01}",bandit,1800,0.2158777224676766,0.04579992464358593,0.5,0.09981581161581671,,,-0.3576067573028969,-3.8698057227357323e-16,episode,0.19325232913825208,0.25380720875309587
intercept,hierarchical,observable,"{""penalty"": 0.01}",foraging,364,0.6305059233885887,0.21932124746209158,0.5,0.015342368342020851,,,-0.0008394331818029066,-8.107648801824293e-17,episode,0.6140805255889807,0.6498819914515995
intercept,hierarchical,observable,"{""penalty"": 0.01}",information_sampling,40,0.7998686756329961,0.30023967116831835,0.5,0.2296511945719386,,,-0.16236529562465685,,episode,0.7106407490713218,0.9199731281016429
intercept,hierarchical,observable,"{""penalty"": 0.01}",partial_reinforcement,20,0.7148417117472665,0.260816278076649,0.5,0.14427847405849892,,,-0.062153520939533635,,episode,0.7009442183358716,0.7336442028332714
intercept,hierarchical,observable,"{""penalty"": 0.01}",solvability,313,0.6635518566064361,0.23525957233136283,0.5,0.034431504486032216,,,-0.003939330836120636,,episode,0.6280087483916063,0.7100504483988983
time_only,task_specific,observable,"{""penalty"": 0.01}",bandit,1800,0.15364864094756153,0.035476515901659664,0.7696040857455365,0.032058553856888966,0.570501575936689,0.16017312340000342,0.03373803087973104,-0.7468452876642184,episode,0.11561611885898948,0.22033286811197697
time_only,task_specific,observable,"{""penalty"": 0.01}",foraging,364,0.5979846692508958,0.2043412489199523,0.7286585365853658,0.10905327708968518,0.730784482010534,0.7042995650597481,0.05078348160796009,-0.7464600045041929,episode,0.5815458279902218,0.6168583920200095
time_only,task_specific,observable,"{""penalty"": 0.01}",information_sampling,40,0.7925610754776313,0.2970393327622025,0.48484848484848486,0.22253522959963068,-25.44790036277699,-36.124540977999516,-0.15174592637860473,-0.8714707263197387,episode,0.7073466299253756,0.9242959972311859
time_only,task_specific,observable,"{""penalty"": 0.01}",partial_reinforcement,20,0.6721509269492937,0.2395148913807467,0.8333333333333333,0.08541740654921748,0.20779625883560643,6.717508807204273,0.001278937798786739,-0.9471237584991619,episode,0.669862600989062,0.6752468973660776
time_only,task_specific,observable,"{""penalty"": 0.01}",solvability,313,0.658175762066164,0.23247260494092328,0.5953035060177917,0.1425178691086581,0.5188766022521311,0.24158692678885008,0.004194581685615706,-0.0325544766425654,episode,0.6312752881616612,0.6940962629803556
time_only,fully_shared,observable,"{""penalty"": 0.01}",bandit,1800,0.18751322538250723,0.03984466219265084,0.7696040857455365,0.07628447833323501,5.320758661447609,2.4178909611554977,-0.1792287733676159,-0.7468452876642184,episode,0.16052351112779442,0.23209431375326534
time_only,fully_shared,observable,"{""penalty"": 0.01}",foraging,364,0.63198547155813,0.2199884029173471,0.27134146341463417,0.1520380124227238,-16.79279234089309,-26.556481344618188,-0.0031880077097161674,0.7464600045041927,episode,0.615613825787145,0.650008596619317
time_only,fully_shared,observable,"{""penalty"": 0.01}",information_sampling,40,0.7973338515426784,0.29913289577190305,0.48484848484848486,0.22703397736901604,-4.721572328497438,-7.122020607804216,-0.1586817015012003,-0.8714707263197325,episode,0.7101380994045452,0.9319817659001797
time_only,fully_shared,observable,"{""penalty"": 0.01}",partial_reinforcement,20,0.7018747517318543,0.2543614098958074,0.16666666666666666,0.11864757237101359,-13.395652933662953,-187.54654267220292,-0.04288645522426138,0.9471237584991619,episode,0.696290122526179,0.7094304265395327
time_only,fully_shared,observable,"{""penalty"": 0.01}",solvability,313,0.6624780805446276,0.2347747215381393,0.5953035060177917,0.15057433517084076,2.875706996361637,3.8766654230182738,-0.0023147313263354174,-0.03255447664256582,episode,0.6289469658200734,0.7040435486002847
